OpportunityID,StageName,EnteredDate,ExitedDate,DaysInStage,IsCurrentStage
OPP-00049,Qualified,2025-09-13,2025-09-21,8,false
OPP-00050,Prospect,2025-05-21,2025-05-28,7,false
OPP-00050,Qualified,2025-05-28,2025-06-05,8,false
OPP-00051,Prospect,2025-02-27,2025-03-09,10,false
OPP-00052,Prospect,2026-07-04,2026-07-13,9,false
OPP-00052,Qualified,2026-07-13,2026-07-20,7,false
OPP-00052,Demo,2026-07-20,,0,true
OPP-00053,Prospect,2025-08-09,2025-08-14,5,false
OPP-00053,Qualified,2025-08-14,2025-08-22,8,false
OPP-00053,Demo,2025-08-22,2025-08-28,6,false
OPP-00053,Proposal,2025-08-28,2025-09-13,16,false
OPP-00053,Commit,2025-09-13,2025-09-20,7,false
OPP-00054,Prospect,2024-03-28,2024-04-03,6,false
OPP-00054,Qualified,2024-04-03,2024-04-12,9,false
OPP-00054,Demo,2024-04-12,2024-04-13,1,false
OPP-00054,Proposal,2024-04-13,2024-04-28,15,false
OPP-00054,Commit,2024-04-28,2024-05-10,12,false
OPP-00055,Prospect,2024-10-04,2024-10-10,6,false
OPP-00055,Qualified,2024-10-10,2024-10-18,8,false
OPP-00055,Demo,2024-10-18,2024-10-23,5,false
OPP-00055,Proposal,2024-10-23,2024-11-11,19,false
OPP-00055,Commit,2024-11-11,2024-11-26,15,false
OPP-00056,Prospect,2026-03-21,2026-04-03,13,false
OPP-00056,Qualified,2026-04-03,2026-04-10,7,false
OPP-00056,Demo,2026-04-10,,69,true
OPP-00057,Prospect,2025-02-27,2025-03-09,10,false
OPP-00057,Qualified,2025-03-09,2025-03-17,8,false
OPP-00057,Demo,2025-03-17,2025-03-23,6,false
OPP-00057,Proposal,2025-03-23,2025-04-05,13,false
OPP-00057,Commit,2025-04-05,2025-04-18,13,false
OPP-00058,Prospect,2025-10-31,2025-11-07,7,false
OPP-00058,Qualified,2025-11-07,2025-11-13,6,false
OPP-00058,Demo,2025-11-13,,217,true
OPP-00059,Prospect,2024-05-16,2024-05-26,10,false
OPP-00060,Prospect,2024-11-20,2024-12-04,14,false
OPP-00061,Prospect,2025-09-06,2025-09-20,14,false
OPP-00061,Qualified,2025-09-20,2025-10-02,12,false
OPP-00061,Demo,2025-10-02,2025-10-07,5,false
OPP-00062,Prospect,2024-12-22,2025-01-01,10,false
OPP-00062,Qualified,2025-01-01,2025-01-08,7,false
OPP-00062,Demo,2025-01-08,2025-01-15,7,false
OPP-00062,Proposal,2025-01-15,2025-02-05,21,false
OPP-00062,Commit,2025-02-05,2025-02-15,10,false
OPP-00063,Prospect,2026-02-25,,113,true
OPP-00064,Prospect,2024-10-22,2024-11-03,12,false
OPP-00064,Qualified,2024-11-03,2024-11-10,7,false
OPP-00064,Demo,2024-11-10,2024-11-14,4,false
OPP-00064,Proposal,2024-11-14,2024-11-25,11,false
OPP-00064,Commit,2024-11-25,2024-12-05,10,false
OPP-00065,Prospect,2025-08-20,2025-09-01,12,false
OPP-00066,Prospect,2025-12-09,2025-12-16,7,false
OPP-00066,Qualified,2025-12-16,2025-12-24,8,false
OPP-00066,Demo,2025-12-24,2025-12-30,6,false
OPP-00066,Proposal,2025-12-30,,170,true
OPP-00067,Prospect,2026-05-13,2026-05-17,4,false
OPP-00067,Qualified,2026-05-17,2026-05-26,9,false
OPP-00067,Demo,2026-05-26,2026-05-31,5,false
OPP-00067,Proposal,2026-05-31,,18,true
OPP-00068,Prospect,2025-02-20,2025-02-26,6,false
OPP-00068,Qualified,2025-02-26,2025-03-06,8,false
OPP-00068,Demo,2025-03-06,2025-03-11,5,false
OPP-00068,Proposal,2025-03-11,2025-03-21,10,false
OPP-00068,Commit,2025-03-21,2025-04-01,11,false
OPP-00069,Prospect,2025-07-28,2025-08-02,5,false
OPP-00069,Qualified,2025-08-02,2025-08-10,8,false
OPP-00069,Demo,2025-08-10,2025-08-15,5,false
OPP-00069,Proposal,2025-08-15,2025-09-02,18,false
OPP-00069,Commit,2025-09-02,2025-09-22,20,false
OPP-00070,Prospect,2026-01-09,,160,true
OPP-00071,Prospect,2026-02-24,,114,true
OPP-00072,Prospect,2024-11-25,2024-12-06,11,false
OPP-00073,Prospect,2025-08-05,2025-08-16,11,false
OPP-00073,Qualified,2025-08-16,2025-08-22,6,false
OPP-00074,Prospect,2024-11-24,2024-12-06,12,false
OPP-00074,Qualified,2024-12-06,2024-12-15,9,false
OPP-00074,Demo,2024-12-15,2024-12-23,8,false
OPP-00074,Proposal,2024-12-23,2025-01-04,12,false
OPP-00074,Commit,2025-01-04,2025-01-22,18,false
OPP-00075,Prospect,2026-03-08,2026-03-13,5,false
OPP-00075,Qualified,2026-03-13,2026-03-19,6,false
OPP-00075,Demo,2026-03-19,2026-03-27,8,false
OPP-00075,Proposal,2026-03-27,2026-04-09,13,false
OPP-00075,Commit,2026-04-09,,70,true
OPP-00076,Prospect,2026-02-18,2026-02-25,7,false
OPP-00076,Qualified,2026-02-25,2026-03-05,8,false
OPP-00076,Demo,2026-03-05,,105,true
OPP-00077,Prospect,2024-07-11,2024-07-21,10,false
OPP-00077,Qualified,2024-07-21,2024-07-29,8,false
OPP-00077,Demo,2024-07-29,2024-08-02,4,false
OPP-00077,Proposal,2024-08-02,2024-08-16,14,false
OPP-00077,Commit,2024-08-16,2024-08-30,14,false
OPP-00078,Prospect,2025-09-07,2025-09-16,9,false
OPP-00078,Qualified,2025-09-16,2025-09-28,12,false
OPP-00078,Demo,2025-09-28,2025-10-03,5,false
OPP-00078,Proposal,2025-10-03,2025-10-20,17,false
OPP-00078,Commit,2025-10-20,2025-10-31,11,false
OPP-00079,Prospect,2025-07-05,2025-07-11,6,false
OPP-00079,Qualified,2025-07-11,2025-07-20,9,false
OPP-00079,Demo,2025-07-20,2025-07-27,7,false
OPP-00079,Proposal,2025-07-27,2025-08-05,9,false
OPP-00079,Commit,2025-08-05,2025-08-16,11,false
OPP-00080,Prospect,2024-08-14,2024-08-24,10,false
OPP-00080,Qualified,2024-08-24,2024-08-30,6,false
OPP-00080,Demo,2024-08-30,2024-09-08,9,false
OPP-00081,Prospect,2026-06-30,2026-07-10,10,false
OPP-00081,Qualified,2026-07-10,2026-07-12,2,false
OPP-00081,Demo,2026-07-12,2026-07-14,2,false
OPP-00081,Proposal,2026-07-14,,0,true
OPP-00082,Prospect,2026-02-16,2026-02-25,9,false
OPP-00082,Qualified,2026-02-25,2026-03-02,5,false
OPP-00082,Demo,2026-03-02,2026-03-06,4,false
OPP-00082,Proposal,2026-03-06,2026-03-14,8,false
OPP-00082,Commit,2026-03-14,,96,true
OPP-00083,Prospect,2024-10-08,2024-10-15,7,false
OPP-00083,Qualified,2024-10-15,2024-10-22,7,false
OPP-00083,Demo,2024-10-22,2024-11-01,10,false
OPP-00083,Proposal,2024-11-01,2024-11-13,12,false
OPP-00083,Commit,2024-11-13,2024-11-20,7,false
OPP-00084,Prospect,2025-12-25,2025-12-28,3,false
OPP-00084,Qualified,2025-12-28,2026-01-05,8,false
OPP-00084,Demo,2026-01-05,2026-01-10,5,false
OPP-00084,Proposal,2026-01-10,2026-01-29,19,false
OPP-00084,Commit,2026-01-29,,140,true
OPP-00085,Prospect,2025-10-27,2025-11-03,7,false
OPP-00085,Qualified,2025-11-03,2025-11-10,7,false
OPP-00085,Demo,2025-11-10,2025-11-17,7,false
OPP-00085,Proposal,2025-11-17,2025-12-02,15,false
OPP-00085,Commit,2025-12-02,,198,true
OPP-00086,Prospect,2025-09-15,,276,true
OPP-00087,Prospect,2026-01-18,,151,true
OPP-00088,Prospect,2024-06-03,2024-06-11,8,false
OPP-00088,Qualified,2024-06-11,2024-06-20,9,false
OPP-00088,Demo,2024-06-20,2024-06-25,5,false
OPP-00088,Proposal,2024-06-25,2024-07-10,15,false
OPP-00088,Commit,2024-07-10,2024-07-26,16,false
OPP-00089,Prospect,2025-04-09,2025-04-22,13,false
OPP-00089,Qualified,2025-04-22,2025-05-01,9,false
OPP-00089,Demo,2025-05-01,2025-05-07,6,false
OPP-00089,Proposal,2025-05-07,2025-05-27,20,false
OPP-00089,Commit,2025-05-27,2025-06-07,11,false
OPP-00090,Prospect,2026-01-20,2026-02-04,15,false
OPP-00090,Qualified,2026-02-04,2026-02-13,9,false
OPP-00090,Demo,2026-02-13,2026-02-19,6,false
OPP-00090,Proposal,2026-02-19,,119,true
OPP-00091,Prospect,2025-03-15,2025-03-22,7,false
OPP-00091,Qualified,2025-03-22,2025-03-31,9,false
OPP-00091,Demo,2025-03-31,2025-04-08,8,false
OPP-00091,Proposal,2025-04-08,2025-04-26,18,false
OPP-00091,Commit,2025-04-26,2025-05-13,17,false
OPP-00092,Prospect,2025-12-28,2026-01-06,9,false
OPP-00092,Qualified,2026-01-06,2026-01-15,9,false
OPP-00092,Demo,2026-01-15,2026-01-17,2,false
OPP-00092,Proposal,2026-01-17,,152,true
OPP-00093,Prospect,2025-08-07,2025-08-13,6,false
OPP-00094,Prospect,2024-05-05,2024-05-13,8,false
OPP-00095,Prospect,2026-04-16,2026-04-26,10,false
OPP-00095,Qualified,2026-04-26,2026-05-08,12,false
OPP-00095,Demo,2026-05-08,2026-05-16,8,false
OPP-00095,Proposal,2026-05-16,,33,true
OPP-00096,Prospect,2026-07-17,2026-07-25,8,false
OPP-00096,Qualified,2026-07-25,,0,true
OPP-00097,Prospect,2025-06-04,2025-06-19,15,false
OPP-00098,Prospect,2024-03-20,2024-03-26,6,false
OPP-00098,Qualified,2024-03-26,2024-04-03,8,false
OPP-00098,Demo,2024-04-03,2024-04-10,7,false
OPP-00098,Proposal,2024-04-10,2024-04-21,11,false
OPP-00098,Commit,2024-04-21,2024-05-05,14,false
OPP-00099,Prospect,2025-07-18,2025-07-29,11,false
OPP-00099,Qualified,2025-07-29,2025-08-04,6,false
OPP-00099,Demo,2025-08-04,2025-08-13,9,false
OPP-00099,Proposal,2025-08-13,2025-08-26,13,false
OPP-00099,Commit,2025-08-26,2025-09-15,20,false
OPP-00100,Prospect,2024-08-15,2024-08-28,13,false
OPP-00100,Qualified,2024-08-28,2024-09-04,7,false
OPP-00100,Demo,2024-09-04,2024-09-06,2,false
OPP-00100,Proposal,2024-09-06,2024-09-20,14,false
OPP-00100,Commit,2024-09-20,2024-09-30,10,false
OPP-00101,Prospect,2026-02-09,2026-02-13,4,false
OPP-00101,Qualified,2026-02-13,,125,true
OPP-00102,Prospect,2025-03-20,2025-03-28,8,false
OPP-00103,Prospect,2025-02-08,2025-02-22,14,false
OPP-00104,Prospect,2025-12-03,2025-12-12,9,false
OPP-00104,Qualified,2025-12-12,2025-12-20,8,false
OPP-00104,Demo,2025-12-20,,180,true
OPP-00105,Prospect,2024-04-26,2024-05-05,9,false
OPP-00105,Qualified,2024-05-05,2024-05-16,11,false
OPP-00105,Demo,2024-05-16,2024-05-20,4,false
OPP-00105,Proposal,2024-05-20,2024-06-03,14,false
OPP-00105,Commit,2024-06-03,2024-06-10,7,false
OPP-00106,Prospect,2025-11-04,2025-11-15,11,false
OPP-00106,Qualified,2025-11-15,2025-11-22,7,false
OPP-00106,Demo,2025-11-22,2025-12-01,9,false
OPP-00106,Proposal,2025-12-01,2025-12-21,20,false
OPP-00106,Commit,2025-12-21,,179,true
OPP-00107,Prospect,2025-10-04,2025-10-14,10,false
OPP-00107,Qualified,2025-10-14,2025-10-24,10,false
OPP-00107,Demo,2025-10-24,,237,true
OPP-00108,Prospect,2025-08-23,,299,true
OPP-00109,Prospect,2025-07-26,2025-08-09,14,false
OPP-00109,Qualified,2025-08-09,2025-08-17,8,false
OPP-00109,Demo,2025-08-17,2025-08-21,4,false
OPP-00109,Proposal,2025-08-21,2025-08-28,7,false
OPP-00109,Commit,2025-08-28,2025-09-09,12,false
OPP-00110,Prospect,2024-04-07,2024-04-18,11,false
OPP-00110,Qualified,2024-04-18,2024-04-25,7,false
OPP-00110,Demo,2024-04-25,2024-05-02,7,false
OPP-00110,Proposal,2024-05-02,2024-05-18,16,false
OPP-00110,Commit,2024-05-18,2024-05-27,9,false
OPP-00111,Prospect,2024-02-27,2024-03-04,6,false
OPP-00112,Prospect,2024-09-28,2024-10-10,12,false
OPP-00112,Qualified,2024-10-10,2024-10-18,8,false
OPP-00112,Demo,2024-10-18,2024-10-24,6,false
OPP-00112,Proposal,2024-10-24,2024-11-11,18,false
OPP-00113,Prospect,2025-11-06,2025-11-10,4,false
OPP-00113,Qualified,2025-11-10,2025-11-20,10,false
OPP-00113,Demo,2025-11-20,,210,true
OPP-00114,Prospect,2025-08-22,2025-08-31,9,false
OPP-00115,Prospect,2024-11-18,2024-11-25,7,false
OPP-00115,Qualified,2024-11-25,2024-12-03,8,false
OPP-00115,Demo,2024-12-03,2024-12-10,7,false
OPP-00115,Proposal,2024-12-10,2024-12-26,16,false
OPP-00115,Commit,2024-12-26,2025-01-07,12,false
OPP-00116,Prospect,2025-12-30,2026-01-10,11,false
OPP-00116,Qualified,2026-01-10,,159,true
OPP-00117,Prospect,2023-12-17,2023-12-27,10,false
OPP-00117,Qualified,2023-12-27,2024-01-02,6,false
OPP-00117,Demo,2024-01-02,2024-01-07,5,false
OPP-00117,Proposal,2024-01-07,2024-01-24,17,false
OPP-00117,Commit,2024-01-24,2024-02-13,20,false
OPP-00118,Prospect,2024-01-21,2024-01-30,9,false
OPP-00118,Qualified,2024-01-30,2024-02-04,5,false
OPP-00118,Demo,2024-02-04,2024-02-11,7,false
OPP-00118,Proposal,2024-02-11,2024-02-20,9,false
OPP-00118,Commit,2024-02-20,2024-02-29,9,false
OPP-00119,Prospect,2025-10-12,2025-10-17,5,false
OPP-00119,Qualified,2025-10-17,2025-10-22,5,false
OPP-00119,Demo,2025-10-22,2025-10-27,5,false
OPP-00119,Proposal,2025-10-27,2025-11-11,15,false
OPP-00119,Commit,2025-11-11,2025-11-21,10,false
OPP-00120,Prospect,2025-11-17,2025-11-24,7,false
OPP-00120,Qualified,2025-11-24,2025-12-01,7,false
OPP-00120,Demo,2025-12-01,,199,true
OPP-00121,Prospect,2025-01-14,2025-01-21,7,false
OPP-00121,Qualified,2025-01-21,2025-02-02,12,false
OPP-00122,Prospect,2025-11-24,2025-12-03,9,false
OPP-00122,Qualified,2025-12-03,,197,true
OPP-00123,Prospect,2024-05-08,2024-05-15,7,false
OPP-00123,Qualified,2024-05-15,2024-05-24,9,false
OPP-00123,Demo,2024-05-24,2024-05-31,7,false
OPP-00123,Proposal,2024-05-31,2024-06-16,16,false
OPP-00124,Prospect,2024-07-09,2024-07-19,10,false
OPP-00124,Qualified,2024-07-19,2024-07-28,9,false
OPP-00125,Prospect,2025-01-04,2025-01-10,6,false
OPP-00125,Qualified,2025-01-10,2025-01-17,7,false
OPP-00125,Demo,2025-01-17,2025-01-23,6,false
OPP-00125,Proposal,2025-01-23,2025-02-06,14,false
OPP-00125,Commit,2025-02-06,2025-02-17,11,false
OPP-00126,Prospect,2026-03-10,2026-03-14,4,false
OPP-00126,Qualified,2026-03-14,2026-03-23,9,false
OPP-00126,Demo,2026-03-23,2026-03-30,7,false
OPP-00126,Proposal,2026-03-30,,80,true
OPP-00127,Prospect,2024-06-27,2024-07-06,9,false
OPP-00128,Prospect,2025-09-01,2025-09-07,6,false
OPP-00128,Qualified,2025-09-07,2025-09-15,8,false
OPP-00128,Demo,2025-09-15,2025-09-20,5,false
OPP-00128,Proposal,2025-09-20,2025-10-02,12,false
OPP-00128,Commit,2025-10-02,2025-10-14,12,false
OPP-00129,Prospect,2025-04-04,2025-04-15,11,false
OPP-00129,Qualified,2025-04-15,2025-04-23,8,false
OPP-00129,Demo,2025-04-23,2025-04-27,4,false
OPP-00129,Proposal,2025-04-27,2025-05-18,21,false
OPP-00129,Commit,2025-05-18,2025-05-22,4,false
OPP-00130,Prospect,2026-01-27,2026-02-06,10,false
OPP-00130,Qualified,2026-02-06,2026-02-11,5,false
OPP-00130,Demo,2026-02-11,,127,true
OPP-00131,Prospect,2025-03-18,2025-03-20,2,false
OPP-00131,Qualified,2025-03-20,2025-03-31,11,false
OPP-00131,Demo,2025-03-31,2025-04-07,7,false
OPP-00131,Proposal,2025-04-07,2025-04-24,17,false
OPP-00132,Prospect,2025-12-02,2025-12-10,8,false
OPP-00132,Qualified,2025-12-10,2025-12-21,11,false
OPP-00132,Demo,2025-12-21,2025-12-26,5,false
OPP-00132,Proposal,2025-12-26,,174,true
OPP-00133,Prospect,2026-04-11,2026-04-25,14,false
OPP-00133,Qualified,2026-04-25,2026-05-03,8,false
OPP-00133,Demo,2026-05-03,2026-05-08,5,false
OPP-00133,Proposal,2026-05-08,,41,true
OPP-00134,Prospect,2024-04-17,2024-05-02,15,false
OPP-00134,Qualified,2024-05-02,2024-05-14,12,false
OPP-00134,Demo,2024-05-14,2024-05-21,7,false
OPP-00134,Proposal,2024-05-21,2024-06-07,17,false
OPP-00134,Commit,2024-06-07,2024-06-14,7,false
OPP-00135,Prospect,2026-02-12,2026-02-21,9,false
OPP-00135,Qualified,2026-02-21,2026-03-03,10,false
OPP-00135,Demo,2026-03-03,2026-03-11,8,false
OPP-00135,Proposal,2026-03-11,,99,true
OPP-00136,Prospect,2025-10-26,2025-11-02,7,false
OPP-00136,Qualified,2025-11-02,2025-11-11,9,false
OPP-00136,Demo,2025-11-11,2025-11-20,9,false
OPP-00136,Proposal,2025-11-20,2025-12-07,17,false
OPP-00136,Commit,2025-12-07,2025-12-18,11,false
OPP-00137,Prospect,2025-10-18,2025-10-30,12,false
OPP-00137,Qualified,2025-10-30,2025-11-08,9,false
OPP-00138,Prospect,2025-05-06,2025-05-21,15,false
OPP-00138,Qualified,2025-05-21,2025-05-28,7,false
OPP-00138,Demo,2025-05-28,2025-06-01,4,false
OPP-00139,Prospect,2025-07-19,2025-08-03,15,false
OPP-00139,Qualified,2025-08-03,2025-08-11,8,false
OPP-00139,Demo,2025-08-11,2025-08-16,5,false
OPP-00139,Proposal,2025-08-16,2025-09-06,21,false
OPP-00139,Commit,2025-09-06,2025-09-23,17,false
OPP-00140,Prospect,2026-01-02,2026-01-11,9,false
OPP-00140,Qualified,2026-01-11,2026-01-22,11,false
