OpportunityID,HighestStage,AccountName,StageName,ACV,CloseDate,Owner,Segment,Region,CreatedDate,LastActivityDate,DaysSinceActivity,ForecastCategory,IsWon,IsClosed,ARRType,CreatedQuarter,CloseQuarter,EnteredCurrentStage,DaysInCurrentStage
OPP-00052,Demo,Endgame Platform,Demo,24000,2026-08-17,Elena Okafor,SMB,East,2026-07-04,2026-06-05,17,Best Case,false,false,Expansion,Q3 2026,Q3 2026,2026-07-20,0
OPP-00053,Commit,Ramp Analytics,Closed Won,599000,2025-09-20,Zara Mitchell,Enterprise,East,2025-08-09,2025-09-20,275,Closed,true,true,New,Q3 2025,Q3 2025,2025-09-13,7
OPP-00054,Commit,Bigeye Solutions,Closed Won,31000,2024-05-10,Mia Torres,SMB,West,2024-03-28,2024-05-12,771,Closed,true,true,New,Q1 2024,Q2 2024,2024-04-28,12
OPP-00055,Commit,Grafana Ops,Closed Won,219029,2024-11-26,Avery Singh,Enterprise,Central,2024-10-04,2024-11-29,570,Closed,true,true,Expansion,Q4 2024,Q4 2024,2024-11-11,15
OPP-00056,Demo,ZoomInfo Data,Demo,18000,2026-05-07,Liam Chen,SMB,West,2026-03-21,2026-06-21,1,Best Case,false,false,New,Q1 2026,Q2 2026,2026-04-10,73
OPP-00057,Commit,Chorus Analytics,Closed Won,557000,2025-04-18,Priya Kapoor,Enterprise,West,2025-02-27,2025-04-19,429,Closed,true,true,New,Q1 2025,Q2 2025,2025-04-05,13
OPP-00058,Demo,Amplitude Systems,Demo,800000,2026-03-19,Marcus Webb,Enterprise,Central,2025-10-31,2026-06-12,10,Best Case,false,false,Expansion,Q4 2025,Q1 2026,2025-11-13,221
OPP-00059,Prospect,Avalara Systems,Closed Lost,85000,2024-05-26,Aria Stephens,Mid-Market,East,2024-05-16,2024-05-28,755,Omit,false,true,New,Q2 2024,Q2 2024,2024-05-16,10
OPP-00060,Prospect,Outreach Systems,Closed Lost,469000,2024-12-04,Marcus Webb,Enterprise,Central,2024-11-20,2024-12-07,562,Omit,false,true,New,Q4 2024,Q4 2024,2024-11-20,14
OPP-00061,Demo,ClientSuccess Data,Closed Lost,343000,2025-10-07,Marcus Webb,Enterprise,Central,2025-09-06,2025-10-08,257,Omit,false,true,New,Q3 2025,Q4 2025,2025-10-02,5
OPP-00062,Commit,Roadmunk Analytics,Closed Won,118000,2025-02-15,Aria Stephens,Mid-Market,East,2024-12-22,2025-02-15,492,Closed,true,true,New,Q4 2024,Q1 2025,2025-02-05,10
OPP-00063,Prospect,Monte Carlo Data,Prospect,514000,2026-06-11,Noah Patel,Enterprise,Central,2026-02-25,2026-06-04,18,Omit,false,false,Expansion,Q1 2026,Q2 2026,2026-02-25,117
OPP-00064,Commit,Ramp Analytics,Closed Won,771000,2024-12-05,Noah Patel,Enterprise,Central,2024-10-22,2024-12-07,562,Closed,true,true,Renewal,Q4 2024,Q4 2024,2024-11-25,10
OPP-00065,Prospect,Cobalt Security,Closed Lost,14000,2025-09-01,Caleb Nguyen,SMB,East,2025-08-20,2025-09-03,292,Omit,false,true,New,Q3 2025,Q3 2025,2025-08-20,12
OPP-00066,Proposal,Bombora Systems,Proposal,23000,2026-01-12,Avery Singh,SMB,Central,2025-12-09,2026-06-20,2,Best Case,false,false,New,Q4 2025,Q1 2026,2025-12-30,174
OPP-00067,Proposal,ProfitWell Systems,Proposal,13330,2026-06-12,Liam Chen,SMB,West,2026-05-13,2026-06-20,2,Best Case,false,false,Expansion,Q2 2026,Q2 2026,2026-05-31,22
OPP-00068,Commit,Synder Platform,Closed Won,19000,2025-04-01,Caleb Nguyen,SMB,East,2025-02-20,2025-04-03,445,Closed,true,true,New,Q1 2025,Q2 2025,2025-03-21,11
OPP-00069,Commit,Chorus Analytics,Closed Lost,9472,2025-09-22,Elena Okafor,SMB,East,2025-07-28,2025-09-23,272,Omit,false,true,Expansion,Q3 2025,Q3 2025,2025-09-02,20
OPP-00070,Prospect,GreatX Corp,Prospect,32000,2026-01-30,Elena Okafor,SMB,East,2026-01-09,2026-05-28,25,Omit,false,false,New,Q1 2026,Q1 2026,2026-01-09,164
OPP-00071,Prospect,ChurnZero Analytics,Prospect,107000,2026-05-08,Aria Stephens,Mid-Market,East,2026-02-24,2026-06-12,10,Omit,false,false,New,Q1 2026,Q2 2026,2026-02-24,118
OPP-00072,Prospect,Atlan Platform,Closed Lost,36000,2024-12-06,Avery Singh,SMB,Central,2024-11-25,2024-12-08,561,Omit,false,true,New,Q4 2024,Q4 2024,2024-11-25,11
OPP-00073,Qualified,Devrev Systems,Closed Lost,552000,2025-08-22,Noah Patel,Enterprise,Central,2025-08-05,2025-08-22,304,Omit,false,true,New,Q3 2025,Q3 2025,2025-08-16,6
OPP-00074,Commit,Zuora Platform,Closed Won,27000,2025-01-22,Jordan Kelly,SMB,Central,2024-11-24,2025-01-23,515,Closed,true,true,New,Q4 2024,Q1 2025,2025-01-04,18
OPP-00075,Commit,Paddle Analytics,Commit,124000,2026-05-26,Diego Fernandez,Mid-Market,East,2026-03-08,2026-06-02,20,Commit,false,false,New,Q1 2026,Q2 2026,2026-04-09,74
OPP-00076,Demo,Fivetran Systems,Demo,221000,2026-06-09,Noah Patel,Enterprise,Central,2026-02-18,2026-06-09,13,Best Case,false,false,New,Q1 2026,Q2 2026,2026-03-05,109
OPP-00077,Commit,Ironclad Platforms,Closed Won,25000,2024-08-30,Mia Torres,SMB,West,2024-07-11,2024-09-02,658,Closed,true,true,New,Q3 2024,Q3 2024,2024-08-16,14
OPP-00078,Commit,ClientSuccess Data,Closed Won,59000,2025-10-31,Aria Stephens,Mid-Market,East,2025-09-07,2025-11-02,232,Closed,true,true,New,Q3 2025,Q4 2025,2025-10-20,11
OPP-00079,Commit,Amplitude Systems,Closed Won,72000,2025-08-16,Priya Kapoor,Mid-Market,West,2025-07-05,2025-08-19,307,Closed,true,true,New,Q3 2025,Q3 2025,2025-08-05,11
OPP-00080,Demo,Recurly Systems,Closed Lost,30000,2024-09-08,Liam Chen,SMB,West,2024-08-14,2024-09-08,652,Omit,false,true,New,Q3 2024,Q3 2024,2024-08-30,9
OPP-00081,Proposal,Avalara Systems,Proposal,19000,2026-08-02,Liam Chen,SMB,West,2026-06-30,2026-06-17,5,Best Case,false,false,New,Q2 2026,Q3 2026,2026-07-14,0
OPP-00082,Commit,Blissfully Cloud,Commit,22000,2026-03-26,Liam Chen,SMB,West,2026-02-16,2026-05-27,26,Commit,false,false,New,Q1 2026,Q1 2026,2026-03-14,100
OPP-00083,Commit,Blissfully Cloud,Closed Won,22000,2024-11-20,Mia Torres,SMB,West,2024-10-08,2024-11-20,579,Closed,true,true,New,Q4 2024,Q4 2024,2024-11-13,7
OPP-00084,Commit,Ramp Analytics,Commit,30000,2026-02-06,Elena Okafor,SMB,East,2025-12-25,2026-06-20,2,Commit,false,false,New,Q4 2025,Q1 2026,2026-01-29,144
OPP-00085,Commit,Correlated SaaS,Commit,319000,2026-01-03,Noah Patel,Enterprise,Central,2025-10-27,2026-06-10,12,Commit,false,false,New,Q4 2025,Q1 2026,2025-12-02,202
OPP-00086,Prospect,ProfitWell Systems,Prospect,206472,2026-02-04,Priya Kapoor,Enterprise,West,2025-09-15,2026-05-30,23,Omit,false,false,Expansion,Q3 2025,Q1 2026,2025-09-15,280
OPP-00087,Prospect,Salesloft Platform,Prospect,249000,2026-06-19,Priya Kapoor,Enterprise,West,2026-01-18,2026-06-18,4,Omit,false,false,New,Q1 2026,Q2 2026,2026-01-18,155
OPP-00088,Commit,Fivetran Systems,Closed Won,158000,2024-07-26,Ethan Brooks,Mid-Market,West,2024-06-03,2024-07-29,693,Closed,true,true,Expansion,Q2 2024,Q3 2024,2024-07-10,16
OPP-00089,Commit,Craft Platform,Closed Won,732000,2025-06-07,Marcus Webb,Enterprise,Central,2025-04-09,2025-06-09,378,Closed,true,true,New,Q2 2025,Q2 2025,2025-05-27,11
OPP-00090,Proposal,Selectstar Inc,Proposal,149000,2026-04-15,Jordan Kelly,Mid-Market,Central,2026-01-20,2026-06-12,10,Best Case,false,false,New,Q1 2026,Q2 2026,2026-02-19,123
OPP-00091,Commit,ChurnZero Analytics,Closed Won,11000,2025-05-13,Mia Torres,SMB,West,2025-03-15,2025-05-16,402,Closed,true,true,New,Q1 2025,Q2 2025,2025-04-26,17
OPP-00092,Proposal,Vertex SaaS,Proposal,688000,2026-05-24,Jordan Kelly,Enterprise,Central,2025-12-28,2026-06-21,1,Best Case,false,false,New,Q4 2025,Q2 2026,2026-01-17,156
OPP-00093,Prospect,HighSpot Systems,Closed Lost,198000,2025-08-13,Priya Kapoor,Enterprise,West,2025-08-07,2025-08-16,310,Omit,false,true,New,Q3 2025,Q3 2025,2025-08-07,6
OPP-00094,Prospect,Runway Financial,Closed Lost,199000,2024-05-13,Priya Kapoor,Enterprise,West,2024-05-05,2024-05-13,770,Omit,false,true,New,Q2 2024,Q2 2024,2024-05-05,8
OPP-00095,Proposal,Avalara Systems,Proposal,94000,2026-06-29,Aria Stephens,Mid-Market,East,2026-04-16,2026-06-14,8,Best Case,false,false,New,Q2 2026,Q2 2026,2026-05-16,37
OPP-00096,Qualified,Blissfully Cloud,Qualified,33620,2026-09-19,Ethan Brooks,Mid-Market,West,2026-07-17,2026-06-08,14,Best Case,false,false,Expansion,Q3 2026,Q3 2026,2026-07-25,0
OPP-00097,Prospect,Bigeye Solutions,Closed Lost,5000,2025-06-19,Jordan Kelly,SMB,Central,2025-06-04,2025-06-22,365,Omit,false,true,Expansion,Q2 2025,Q2 2025,2025-06-04,15
OPP-00098,Commit,Amplitude Systems,Closed Won,23716,2024-05-05,Jordan Kelly,Mid-Market,Central,2024-03-20,2024-05-08,775,Closed,true,true,Expansion,Q1 2024,Q2 2024,2024-04-21,14
OPP-00099,Commit,Lattice Software,Closed Lost,137000,2025-09-15,Noah Patel,Mid-Market,Central,2025-07-18,2025-09-18,277,Omit,false,true,Expansion,Q3 2025,Q3 2025,2025-08-26,20
OPP-00100,Commit,Vitally CS,Closed Won,127000,2024-09-30,Ethan Brooks,Mid-Market,West,2024-08-15,2024-09-30,630,Closed,true,true,New,Q3 2024,Q3 2024,2024-09-20,10
OPP-00101,Qualified,Roadmunk Analytics,Qualified,36000,2026-03-21,Ethan Brooks,SMB,West,2026-02-09,2026-06-08,14,Best Case,false,false,Renewal,Q1 2026,Q1 2026,2026-02-13,129
OPP-00102,Prospect,Rippling Networks,Closed Lost,559000,2025-03-28,Marcus Webb,Enterprise,Central,2025-03-20,2025-03-31,448,Omit,false,true,New,Q1 2025,Q1 2025,2025-03-20,8
OPP-00103,Prospect,Correlated SaaS,Closed Lost,145000,2025-02-22,Jordan Kelly,Mid-Market,Central,2025-02-08,2025-02-25,482,Omit,false,true,New,Q1 2025,Q1 2025,2025-02-08,14
OPP-00104,Demo,Qualified Platform,Demo,460000,2026-05-23,Priya Kapoor,Enterprise,West,2025-12-03,2026-05-14,39,Best Case,false,false,New,Q4 2025,Q2 2026,2025-12-20,184
OPP-00105,Commit,Craft Platform,Closed Won,40099,2024-06-10,Diego Fernandez,Mid-Market,East,2024-04-26,2024-06-10,742,Closed,true,true,Expansion,Q2 2024,Q2 2024,2024-06-03,7
OPP-00106,Commit,Front Systems,Commit,579000,2026-03-26,Priya Kapoor,Enterprise,West,2025-11-04,2026-06-19,3,Commit,false,false,New,Q4 2025,Q1 2026,2025-12-21,183
OPP-00107,Demo,Monte Carlo Data,Demo,106000,2026-01-07,Jordan Kelly,Mid-Market,Central,2025-10-04,2026-05-07,46,Best Case,false,false,New,Q4 2025,Q1 2026,2025-10-24,241
OPP-00108,Prospect,Chartmogul Analytics,Prospect,453000,2026-01-29,Aria Stephens,Enterprise,East,2025-08-23,2026-06-18,4,Omit,false,false,New,Q3 2025,Q1 2026,2025-08-23,303
OPP-00109,Commit,Maxio Platform,Closed Won,65000,2025-09-09,Aria Stephens,Mid-Market,East,2025-07-26,2025-09-11,284,Closed,true,true,New,Q3 2025,Q3 2025,2025-08-28,12
OPP-00110,Commit,Front Systems,Closed Won,33000,2024-05-27,Elena Okafor,SMB,East,2024-04-07,2024-05-28,755,Closed,true,true,Expansion,Q2 2024,Q2 2024,2024-05-18,9
OPP-00111,Prospect,Planhat Systems,Closed Lost,653000,2024-03-04,Priya Kapoor,Enterprise,West,2024-02-27,2024-03-07,837,Omit,false,true,New,Q1 2024,Q1 2024,2024-02-27,6
OPP-00112,Proposal,Recurly Systems,Closed Lost,107000,2024-11-11,Diego Fernandez,Mid-Market,East,2024-09-28,2024-11-13,586,Omit,false,true,New,Q3 2024,Q4 2024,2024-10-24,18
OPP-00113,Demo,Ironclad Platforms,Demo,58000,2026-01-27,Sofia Ramirez,Mid-Market,West,2025-11-06,2026-06-18,4,Best Case,false,false,Renewal,Q4 2025,Q1 2026,2025-11-20,214
OPP-00114,Prospect,ChurnZero Analytics,Closed Lost,551000,2025-08-31,Noah Patel,Enterprise,Central,2025-08-22,2025-08-31,295,Omit,false,true,Churn,Q3 2025,Q3 2025,2025-08-22,9
OPP-00115,Commit,ChurnZero Analytics,Closed Won,107000,2025-01-07,Diego Fernandez,Mid-Market,East,2024-11-18,2025-01-09,529,Closed,true,true,Renewal,Q4 2024,Q1 2025,2024-12-26,12
OPP-00116,Qualified,Qualified Platform,Qualified,733000,2026-06-01,Zara Mitchell,Enterprise,East,2025-12-30,2026-06-21,1,Best Case,false,false,New,Q4 2025,Q2 2026,2026-01-10,163
OPP-00117,Commit,Correlated SaaS,Closed Won,117000,2024-02-13,Jordan Kelly,Mid-Market,Central,2023-12-17,2024-02-14,859,Closed,true,true,New,Q4 2023,Q1 2024,2024-01-24,20
OPP-00118,Commit,Bombora Systems,Closed Won,145000,2024-02-29,Caleb Nguyen,Mid-Market,East,2024-01-21,2024-03-01,843,Closed,true,true,New,Q1 2024,Q1 2024,2024-02-20,9
OPP-00119,Commit,Maxio Platform,Closed Won,10792,2025-11-21,Elena Okafor,SMB,East,2025-10-12,2025-11-24,210,Closed,true,true,Expansion,Q4 2025,Q4 2025,2025-11-11,10
OPP-00120,Demo,TaxJar Cloud,Demo,76527,2026-03-16,Caleb Nguyen,Enterprise,East,2025-11-17,2026-05-28,25,Best Case,false,false,Expansion,Q4 2025,Q1 2026,2025-12-01,203
OPP-00121,Qualified,Metaphor Networks,Closed Lost,12000,2025-02-02,Avery Singh,SMB,Central,2025-01-14,2025-02-02,505,Omit,false,true,New,Q1 2025,Q1 2025,2025-01-21,12
OPP-00122,Qualified,Lusha Analytics,Qualified,39588,2026-01-13,Liam Chen,Mid-Market,West,2025-11-24,2026-06-11,11,Best Case,false,false,Expansion,Q4 2025,Q1 2026,2025-12-03,201
OPP-00123,Proposal,Zuora Platform,Closed Lost,70688,2024-06-16,Diego Fernandez,Mid-Market,East,2024-05-08,2024-06-19,733,Omit,false,true,Expansion,Q2 2024,Q2 2024,2024-05-31,16
OPP-00124,Qualified,Lattice Software,Closed Lost,317000,2024-07-28,Noah Patel,Enterprise,Central,2024-07-09,2024-07-29,693,Omit,false,true,New,Q3 2024,Q3 2024,2024-07-19,9
OPP-00125,Commit,Recurly Systems,Closed Won,507000,2025-02-17,Zara Mitchell,Enterprise,East,2025-01-04,2025-02-19,488,Closed,true,true,New,Q1 2025,Q1 2025,2025-02-06,11
OPP-00126,Proposal,Synder Platform,Proposal,82000,2026-05-28,Sofia Ramirez,Mid-Market,West,2026-03-10,2026-06-21,1,Best Case,false,false,Renewal,Q1 2026,Q2 2026,2026-03-30,84
OPP-00127,Prospect,ProfitWell Systems,Closed Lost,14690,2024-07-06,Mia Torres,SMB,West,2024-06-27,2024-07-08,714,Omit,false,true,Expansion,Q2 2024,Q3 2024,2024-06-27,9
OPP-00128,Commit,Castor Analytics,Closed Won,147000,2025-10-14,Sofia Ramirez,Mid-Market,West,2025-09-01,2025-10-14,251,Closed,true,true,New,Q3 2025,Q4 2025,2025-10-02,12
OPP-00129,Commit,Lusha Analytics,Closed Won,225539,2025-05-22,Avery Singh,Enterprise,Central,2025-04-04,2025-05-23,395,Closed,true,true,Expansion,Q2 2025,Q2 2025,2025-05-18,4
OPP-00130,Demo,Sovos Analytics,Demo,14326,2026-05-17,Jordan Kelly,Mid-Market,Central,2026-01-27,2026-06-17,5,Best Case,false,false,Expansion,Q1 2026,Q2 2026,2026-02-11,131
OPP-00131,Proposal,Vitally CS,Closed Lost,11045,2025-04-24,Elena Okafor,SMB,East,2025-03-18,2025-04-24,424,Omit,false,true,Expansion,Q1 2025,Q2 2025,2025-04-07,17
OPP-00132,Proposal,Orbit Platform,Proposal,438000,2026-04-14,Mia Torres,Enterprise,West,2025-12-02,2026-06-01,21,Best Case,false,false,New,Q4 2025,Q2 2026,2025-12-26,178
OPP-00133,Proposal,dbt Labs,Proposal,864000,2026-07-09,Avery Singh,Enterprise,Central,2026-04-11,2026-06-10,12,Best Case,false,false,New,Q2 2026,Q3 2026,2026-05-08,45
OPP-00134,Commit,Tidio Platform,Closed Won,148000,2024-06-14,Sofia Ramirez,Mid-Market,West,2024-04-17,2024-06-14,738,Closed,true,true,New,Q2 2024,Q2 2024,2024-06-07,7
