survey_id,survey_date,client_id,project_id,csat_score,nps_score,response_count,primary_feedback_theme
SV00032,2025-03-31,CL004,PR0015,7.0,-6,24,Technical Expertise
SV00033,2025-06-30,CL004,PR0015,6.7,-4,23,Delivery Quality
SV00034,2025-03-31,CL013,PR0017,5.1,-35,10,Speed
SV00035,2025-06-30,CL013,PR0017,5.8,-13,4,Communication
SV00036,2025-06-30,CL010,PR0018,7.2,12,15,Technical Expertise
SV00037,2025-09-30,CL010,PR0018,7.0,12,23,Delivery Quality
SV00038,2025-12-31,CL010,PR0018,6.8,7,19,Speed
SV00039,2025-03-31,CL022,PR0019,9.1,47,19,Technical Expertise
SV00040,2025-03-31,CL016,PR0020,7.9,34,14,Communication
SV00041,2026-03-31,CL024,PR0021,8.5,42,4,Change Management
SV00042,2025-03-31,CL024,PR0022,8.5,46,23,Speed
SV00043,2025-03-31,CL006,PR0023,6.1,18,4,Delivery Quality
SV00044,2025-06-30,CL006,PR0023,6.9,8,6,Responsiveness
SV00045,2025-12-31,CL026,PR0024,7.6,19,14,Technical Expertise
SV00046,2026-03-31,CL026,PR0024,8.1,14,4,Delivery Quality
SV00047,2026-03-31,CL023,PR0025,7.7,24,17,Speed
SV00048,2025-12-31,CL005,PR0027,7.7,20,9,Technical Expertise
SV00049,2026-03-31,CL005,PR0027,7.2,18,20,Technical Expertise
SV00050,2025-03-31,CL017,PR0028,9.3,57,15,Change Management
SV00051,2025-06-30,CL017,PR0028,8.8,46,10,Technical Expertise
SV00052,2025-09-30,CL017,PR0028,8.9,36,12,Delivery Quality
SV00053,2025-12-31,CL019,PR0029,8.9,58,9,Communication
SV00054,2026-03-31,CL019,PR0029,8.2,29,13,Change Management
SV00055,2025-12-31,CL002,PR0030,7.9,38,11,Responsiveness
SV00056,2026-03-31,CL002,PR0030,9.3,54,9,Change Management
SV00057,2025-03-31,CL007,PR0031,6.3,-12,5,Change Management
SV00058,2025-06-30,CL007,PR0031,8.1,30,12,Responsiveness
SV00059,2025-12-31,CL008,PR0032,6.0,-4,17,Technical Expertise
SV00060,2026-03-31,CL008,PR0032,7.9,40,10,Responsiveness
SV00061,2025-12-31,CL001,PR0033,9.9,63,24,Speed
SV00062,2026-03-31,CL001,PR0033,8.7,34,11,Delivery Quality
SV00063,2025-06-30,CL011,PR0034,7.4,18,23,Delivery Quality
SV00064,2025-09-30,CL011,PR0034,7.4,13,5,Communication
SV00065,2025-12-31,CL016,PR0035,8.6,49,23,Responsiveness
SV00066,2026-03-31,CL016,PR0035,9.0,43,17,Communication
SV00067,2025-03-31,CL016,PR0036,7.5,17,23,Technical Expertise
SV00068,2025-06-30,CL016,PR0036,7.1,12,5,Communication
SV00069,2026-03-31,CL024,PR0037,7.4,11,21,Speed
SV00070,2025-03-31,CL001,PR0039,8.0,34,13,Speed
SV00071,2025-06-30,CL001,PR0039,6.4,-8,10,Technical Expertise
SV00072,2025-09-30,CL001,PR0039,6.9,2,5,Delivery Quality
SV00073,2025-03-31,CL003,PR0040,8.3,51,22,Responsiveness
SV00074,2025-03-31,CL022,PR0041,9.0,39,13,Speed
SV00075,2025-12-31,CL012,PR0042,7.4,16,19,Change Management
SV00076,2026-03-31,CL012,PR0042,9.3,52,9,Speed
SV00077,2025-06-30,CL010,PR0043,9.3,54,7,Technical Expertise
SV00078,2025-09-30,CL010,PR0043,7.9,32,11,Delivery Quality
SV00079,2025-03-31,CL025,PR0044,8.1,27,10,Technical Expertise
SV00080,2025-06-30,CL025,PR0044,9.4,53,9,Technical Expertise
SV00081,2025-09-30,CL025,PR0044,9.5,57,14,Communication
SV00082,2025-03-31,CL027,PR0045,9.9,67,23,Speed
SV00083,2025-03-31,CL020,PR0046,8.0,43,19,Change Management
SV00084,2025-06-30,CL020,PR0046,7.3,26,18,Change Management
SV00085,2025-03-31,CL028,PR0047,8.3,47,16,Speed
SV00086,2025-06-30,CL028,PR0047,9.7,61,11,Technical Expertise
SV00087,2025-09-30,CL028,PR0047,9.0,50,9,Communication
SV00088,2025-09-30,CL008,PR0048,9.1,57,9,Speed
SV00089,2025-03-31,CL008,PR0049,7.0,20,21,Speed
SV00090,2025-06-30,CL023,PR0050,8.3,32,5,Change Management
SV00091,2025-09-30,CL023,PR0050,8.9,29,14,Change Management
SV00092,2025-12-31,CL025,PR0051,9.4,57,14,Responsiveness
SV00093,2026-03-31,CL015,PR0052,9.6,53,18,Change Management
SV00094,2025-03-31,CL025,PR0053,8.7,45,12,Speed
SV00095,2025-06-30,CL025,PR0053,9.0,43,22,Communication
SV00096,2025-12-31,CL007,PR0054,6.8,0,19,Delivery Quality
SV00097,2026-03-31,CL007,PR0054,8.1,28,21,Technical Expertise
SV00098,2026-03-31,CL009,PR0055,7.2,16,16,Delivery Quality
SV00099,2025-06-30,CL018,PR0056,7.4,31,6,Responsiveness
SV00100,2025-09-30,CL018,PR0056,7.7,24,4,Change Management
SV00101,2025-12-31,CL018,PR0056,6.8,7,18,Speed
