time_entry_id,entry_date,project_id,consultant_id,hours,billable_hours,non_billable_hours,entry_type,bill_rate,cost_rate,revenue,labor_cost
TE0000044,2025-06-12,PR0001,CN002,5.2,5.2,0,Billable Delivery,157,60,816.4,312.0
TE0000045,2025-06-13,PR0001,CN002,8.69,8.69,0,Billable Delivery,157,60,1364.33,521.4
TE0000046,2025-06-18,PR0001,CN002,7.41,7.41,0,Billable Delivery,157,60,1163.37,444.6
TE0000047,2025-06-19,PR0001,CN002,5.73,5.73,0,Billable Delivery,157,60,899.61,343.8
TE0000048,2025-06-20,PR0001,CN002,8.35,8.35,0,Billable Delivery,157,60,1310.95,501.0
TE0000049,2025-06-23,PR0001,CN002,5.37,5.37,0,Billable Delivery,157,60,843.09,322.2
TE0000050,2025-06-24,PR0001,CN002,7.12,0,7.12,Admin,0,60,0.0,427.2
TE0000051,2025-06-25,PR0001,CN002,4.85,4.85,0,Billable Delivery,157,60,761.45,291.0
TE0000052,2025-06-26,PR0001,CN002,6.58,6.58,0,Billable Delivery,157,60,1033.06,394.8
TE0000053,2025-06-27,PR0001,CN002,5.16,5.16,0,Billable Delivery,157,60,810.12,309.6
TE0000054,2025-06-30,PR0001,CN002,5.17,5.17,0,Billable Delivery,157,60,811.69,310.2
TE0000055,2025-07-01,PR0001,CN002,7.19,7.19,0,Billable Delivery,157,60,1128.83,431.4
TE0000056,2025-07-02,PR0001,CN002,7.42,7.42,0,Billable Delivery,157,60,1164.94,445.2
TE0000057,2025-07-03,PR0001,CN002,2.96,0,2.96,Admin,0,60,0.0,177.6
TE0000058,2025-07-04,PR0001,CN002,6.03,6.03,0,Billable Delivery,157,60,946.71,361.8
TE0000059,2025-07-07,PR0001,CN002,5.56,5.56,0,Billable Delivery,157,60,872.92,333.6
TE0000060,2025-07-08,PR0001,CN002,4.51,4.51,0,Billable Delivery,157,60,708.07,270.6
TE0000061,2025-07-10,PR0001,CN002,5.27,5.27,0,Billable Delivery,157,60,827.39,316.2
TE0000062,2025-07-11,PR0001,CN002,5.3,5.3,0,Billable Delivery,157,60,832.1,318.0
TE0000063,2025-07-14,PR0001,CN002,4.56,0,4.56,Admin,0,60,0.0,273.6
TE0000064,2025-07-15,PR0001,CN002,6.31,0,6.31,Admin,0,60,0.0,378.6
TE0000065,2025-07-16,PR0001,CN002,6.29,6.29,0,Billable Delivery,157,60,987.53,377.4
TE0000066,2025-07-17,PR0001,CN002,6.35,6.35,0,Billable Delivery,157,60,996.95,381.0
TE0000067,2025-07-18,PR0001,CN002,5.67,0,5.67,Enablement,0,60,0.0,340.2
TE0000068,2025-07-21,PR0001,CN002,5.55,5.55,0,Billable Delivery,157,60,871.35,333.0
TE0000069,2025-07-23,PR0001,CN002,5.9,5.9,0,Billable Delivery,157,60,926.3,354.0
TE0000070,2025-07-24,PR0001,CN002,6.23,6.23,0,Billable Delivery,157,60,978.11,373.8
TE0000071,2025-07-25,PR0001,CN002,6.17,6.17,0,Billable Delivery,157,60,968.69,370.2
TE0000072,2025-07-28,PR0001,CN002,5.38,5.38,0,Billable Delivery,157,60,844.66,322.8
TE0000073,2025-07-31,PR0001,CN002,4.96,4.96,0,Billable Delivery,157,60,778.72,297.6
TE0000074,2025-08-01,PR0001,CN002,4.71,4.71,0,Billable Delivery,157,60,739.47,282.6
TE0000075,2025-08-04,PR0001,CN002,6.0,6.0,0,Billable Delivery,157,60,942.0,360.0
TE0000076,2025-08-06,PR0001,CN002,4.25,4.25,0,Billable Delivery,157,60,667.25,255.0
TE0000077,2025-08-07,PR0001,CN002,3.95,3.95,0,Billable Delivery,157,60,620.15,237.0
TE0000078,2025-08-08,PR0001,CN002,5.48,5.48,0,Billable Delivery,157,60,860.36,328.8
TE0000079,2025-08-11,PR0001,CN002,5.53,5.53,0,Billable Delivery,157,60,868.21,331.8
TE0000080,2025-08-12,PR0001,CN002,6.43,6.43,0,Billable Delivery,157,60,1009.51,385.8
TE0000081,2025-08-13,PR0001,CN002,5.85,5.85,0,Billable Delivery,157,60,918.45,351.0
TE0000082,2025-08-14,PR0001,CN002,5.28,5.28,0,Billable Delivery,157,60,828.96,316.8
TE0000083,2025-08-15,PR0001,CN002,4.01,4.01,0,Billable Delivery,157,60,629.57,240.6
TE0000084,2025-08-18,PR0001,CN002,6.94,6.94,0,Billable Delivery,157,60,1089.58,416.4
TE0000085,2025-08-19,PR0001,CN002,6.86,6.86,0,Billable Delivery,157,60,1077.02,411.6
TE0000086,2025-03-24,PR0001,CN055,3.06,3.06,0,Billable Delivery,134,59,410.04,180.54
TE0000087,2025-03-25,PR0001,CN055,6.4,6.4,0,Billable Delivery,134,59,857.6,377.6
TE0000088,2025-03-26,PR0001,CN055,5.13,0,5.13,Admin,0,59,0.0,302.67
TE0000089,2025-03-27,PR0001,CN055,3.47,3.47,0,Billable Delivery,134,59,464.98,204.73
TE0000090,2025-03-28,PR0001,CN055,3.95,3.95,0,Billable Delivery,134,59,529.3,233.05
TE0000091,2025-03-31,PR0001,CN055,6.34,6.34,0,Billable Delivery,134,59,849.56,374.06
TE0000092,2025-04-01,PR0001,CN055,5.61,5.61,0,Billable Delivery,134,59,751.74,330.99
TE0000093,2025-04-02,PR0001,CN055,6.62,6.62,0,Billable Delivery,134,59,887.08,390.58
TE0000094,2025-04-03,PR0001,CN055,5.31,5.31,0,Billable Delivery,134,59,711.54,313.29
TE0000095,2025-04-08,PR0001,CN055,5.04,5.04,0,Billable Delivery,134,59,675.36,297.36
TE0000096,2025-04-11,PR0001,CN055,3.85,3.85,0,Billable Delivery,134,59,515.9,227.15
TE0000097,2025-04-14,PR0001,CN055,3.74,3.74,0,Billable Delivery,134,59,501.16,220.66
TE0000098,2025-04-15,PR0001,CN055,3.9,3.9,0,Billable Delivery,134,59,522.6,230.1
TE0000099,2025-04-16,PR0001,CN055,6.89,6.89,0,Billable Delivery,134,59,923.26,406.51
TE0000100,2025-04-18,PR0001,CN055,6.67,6.67,0,Billable Delivery,134,59,893.78,393.53
TE0000101,2025-04-21,PR0001,CN055,3.21,3.21,0,Billable Delivery,134,59,430.14,189.39
TE0000102,2025-04-23,PR0001,CN055,4.56,0,4.56,Rework,0,59,0.0,269.04
TE0000103,2025-04-24,PR0001,CN055,4.24,4.24,0,Billable Delivery,134,59,568.16,250.16
TE0000104,2025-04-25,PR0001,CN055,3.98,3.98,0,Billable Delivery,134,59,533.32,234.82
TE0000105,2025-04-28,PR0001,CN055,3.77,3.77,0,Billable Delivery,134,59,505.18,222.43
TE0000106,2025-04-29,PR0001,CN055,7.11,7.11,0,Billable Delivery,134,59,952.74,419.49
TE0000107,2025-04-30,PR0001,CN055,3.74,0,3.74,Rework,0,59,0.0,220.66
TE0000108,2025-05-01,PR0001,CN055,4.37,4.37,0,Billable Delivery,134,59,585.58,257.83
TE0000109,2025-05-02,PR0001,CN055,7.77,7.77,0,Billable Delivery,134,59,1041.18,458.43
TE0000110,2025-05-06,PR0001,CN055,6.08,6.08,0,Billable Delivery,134,59,814.72,358.72
TE0000111,2025-05-08,PR0001,CN055,5.74,5.74,0,Billable Delivery,134,59,769.16,338.66
TE0000112,2025-05-09,PR0001,CN055,5.9,5.9,0,Billable Delivery,134,59,790.6,348.1
TE0000113,2025-05-12,PR0001,CN055,4.81,0,4.81,Enablement,0,59,0.0,283.79
TE0000114,2025-05-13,PR0001,CN055,1.7,0,1.7,Internal,0,59,0.0,100.3
TE0000115,2025-05-14,PR0001,CN055,4.3,4.3,0,Billable Delivery,134,59,576.2,253.7
TE0000116,2025-05-16,PR0001,CN055,6.89,6.89,0,Billable Delivery,134,59,923.26,406.51
TE0000117,2025-05-19,PR0001,CN055,4.54,4.54,0,Billable Delivery,134,59,608.36,267.86
TE0000118,2025-05-21,PR0001,CN055,5.9,5.9,0,Billable Delivery,134,59,790.6,348.1
TE0000119,2025-05-22,PR0001,CN055,3.17,3.17,0,Billable Delivery,134,59,424.78,187.03
TE0000120,2025-05-26,PR0001,CN055,7.52,7.52,0,Billable Delivery,134,59,1007.68,443.68
TE0000121,2025-05-27,PR0001,CN055,3.44,3.44,0,Billable Delivery,134,59,460.96,202.96
TE0000122,2025-05-28,PR0001,CN055,5.6,5.6,0,Billable Delivery,134,59,750.4,330.4
TE0000123,2025-05-30,PR0001,CN055,4.24,4.24,0,Billable Delivery,134,59,568.16,250.16
TE0000124,2025-06-03,PR0001,CN055,2.99,2.99,0,Billable Delivery,134,59,400.66,176.41
TE0000125,2025-06-04,PR0001,CN055,4.83,4.83,0,Billable Delivery,134,59,647.22,284.97
TE0000126,2025-06-05,PR0001,CN055,2.02,2.02,0,Billable Delivery,134,59,270.68,119.18
TE0000127,2025-06-06,PR0001,CN055,5.2,5.2,0,Billable Delivery,134,59,696.8,306.8
TE0000128,2025-06-09,PR0001,CN055,4.54,4.54,0,Billable Delivery,134,59,608.36,267.86
TE0000129,2025-06-10,PR0001,CN055,3.52,3.52,0,Billable Delivery,134,59,471.68,207.68
TE0000130,2025-06-12,PR0001,CN055,4.86,4.86,0,Billable Delivery,134,59,651.24,286.74
TE0000131,2025-06-16,PR0001,CN055,6.81,6.81,0,Billable Delivery,134,59,912.54,401.79
TE0000132,2025-06-17,PR0001,CN055,3.54,3.54,0,Billable Delivery,134,59,474.36,208.86
TE0000133,2025-06-19,PR0001,CN055,5.33,0,5.33,Rework,0,59,0.0,314.47
TE0000134,2025-06-20,PR0001,CN055,5.38,5.38,0,Billable Delivery,134,59,720.92,317.42
TE0000135,2025-06-23,PR0001,CN055,5.54,5.54,0,Billable Delivery,134,59,742.36,326.86
TE0000136,2025-06-24,PR0001,CN055,4.44,0,4.44,Rework,0,59,0.0,261.96
TE0000137,2025-06-25,PR0001,CN055,2.17,2.17,0,Billable Delivery,134,59,290.78,128.03
TE0000138,2025-06-27,PR0001,CN055,6.66,6.66,0,Billable Delivery,134,59,892.44,392.94
TE0000139,2025-06-30,PR0001,CN055,6.02,6.02,0,Billable Delivery,134,59,806.68,355.18
TE0000140,2025-07-01,PR0001,CN055,3.89,0,3.89,Rework,0,59,0.0,229.51
TE0000141,2025-07-03,PR0001,CN055,5.4,5.4,0,Billable Delivery,134,59,723.6,318.6
TE0000142,2025-07-07,PR0001,CN055,6.01,6.01,0,Billable Delivery,134,59,805.34,354.59
TE0000143,2025-07-08,PR0001,CN055,6.42,6.42,0,Billable Delivery,134,59,860.28,378.78
TE0000144,2025-07-10,PR0001,CN055,4.86,4.86,0,Billable Delivery,134,59,651.24,286.74
TE0000145,2025-07-11,PR0001,CN055,3.97,3.97,0,Billable Delivery,134,59,531.98,234.23
TE0000146,2025-07-14,PR0001,CN055,3.44,3.44,0,Billable Delivery,134,59,460.96,202.96
TE0000147,2025-07-15,PR0001,CN055,4.77,4.77,0,Billable Delivery,134,59,639.18,281.43
TE0000148,2025-07-16,PR0001,CN055,6.43,0,6.43,Internal,0,59,0.0,379.37
TE0000149,2025-07-17,PR0001,CN055,4.34,4.34,0,Billable Delivery,134,59,581.56,256.06
TE0000150,2025-07-18,PR0001,CN055,1.49,1.49,0,Billable Delivery,134,59,199.66,87.91
TE0000151,2025-07-21,PR0001,CN055,8.43,8.43,0,Billable Delivery,134,59,1129.62,497.37
TE0000152,2025-07-22,PR0001,CN055,1.33,1.33,0,Billable Delivery,134,59,178.22,78.47
TE0000153,2025-07-24,PR0001,CN055,5.16,5.16,0,Billable Delivery,134,59,691.44,304.44
TE0000154,2025-07-25,PR0001,CN055,5.87,5.87,0,Billable Delivery,134,59,786.58,346.33
TE0000155,2025-07-29,PR0001,CN055,6.57,6.57,0,Billable Delivery,134,59,880.38,387.63
TE0000156,2025-07-30,PR0001,CN055,4.44,4.44,0,Billable Delivery,134,59,594.96,261.96
TE0000157,2025-08-01,PR0001,CN055,5.65,5.65,0,Billable Delivery,134,59,757.1,333.35
TE0000158,2025-08-04,PR0001,CN055,4.33,0,4.33,Internal,0,59,0.0,255.47
TE0000159,2025-08-05,PR0001,CN055,5.08,5.08,0,Billable Delivery,134,59,680.72,299.72
TE0000160,2025-08-06,PR0001,CN055,1.68,1.68,0,Billable Delivery,134,59,225.12,99.12
TE0000161,2025-08-07,PR0001,CN055,4.42,4.42,0,Billable Delivery,134,59,592.28,260.78
TE0000162,2025-08-08,PR0001,CN055,3.02,3.02,0,Billable Delivery,134,59,404.68,178.18
TE0000163,2025-08-11,PR0001,CN055,3.49,3.49,0,Billable Delivery,134,59,467.66,205.91
TE0000164,2025-08-15,PR0001,CN055,5.98,0,5.98,Rework,0,59,0.0,352.82
TE0000165,2025-08-19,PR0001,CN055,3.85,3.85,0,Billable Delivery,134,59,515.9,227.15
TE0000166,2025-08-20,PR0001,CN055,5.79,0,5.79,Internal,0,59,0.0,341.61
TE0000167,2025-03-24,PR0001,CN012,4.79,4.79,0,Billable Delivery,185,89,886.15,426.31
TE0000168,2025-03-25,PR0001,CN012,2.42,2.42,0,Billable Delivery,185,89,447.7,215.38
TE0000169,2025-03-26,PR0001,CN012,4.95,0,4.95,Admin,0,89,0.0,440.55
TE0000170,2025-04-02,PR0001,CN012,3.19,3.19,0,Billable Delivery,185,89,590.15,283.91
TE0000171,2025-04-03,PR0001,CN012,3.87,3.87,0,Billable Delivery,185,89,715.95,344.43
TE0000172,2025-04-07,PR0001,CN012,4.84,4.84,0,Billable Delivery,185,89,895.4,430.76
TE0000173,2025-04-08,PR0001,CN012,6.21,6.21,0,Billable Delivery,185,89,1148.85,552.69
TE0000174,2025-04-09,PR0001,CN012,1.49,1.49,0,Billable Delivery,185,89,275.65,132.61
TE0000175,2025-04-10,PR0001,CN012,3.71,3.71,0,Billable Delivery,185,89,686.35,330.19
TE0000176,2025-04-11,PR0001,CN012,6.12,6.12,0,Billable Delivery,185,89,1132.2,544.68
TE0000177,2025-04-14,PR0001,CN012,4.32,4.32,0,Billable Delivery,185,89,799.2,384.48
TE0000178,2025-04-15,PR0001,CN012,2.94,2.94,0,Billable Delivery,185,89,543.9,261.66
TE0000179,2025-04-16,PR0001,CN012,2.69,2.69,0,Billable Delivery,185,89,497.65,239.41
TE0000180,2025-04-18,PR0001,CN012,7.83,7.83,0,Billable Delivery,185,89,1448.55,696.87
TE0000181,2025-04-21,PR0001,CN012,1.14,1.14,0,Billable Delivery,185,89,210.9,101.46
TE0000182,2025-04-22,PR0001,CN012,2.39,2.39,0,Billable Delivery,185,89,442.15,212.71
TE0000183,2025-04-23,PR0001,CN012,2.57,2.57,0,Billable Delivery,185,89,475.45,228.73
TE0000184,2025-04-24,PR0001,CN012,3.82,3.82,0,Billable Delivery,185,89,706.7,339.98
TE0000185,2025-04-25,PR0001,CN012,4.21,4.21,0,Billable Delivery,185,89,778.85,374.69
TE0000186,2025-04-28,PR0001,CN012,4.95,4.95,0,Billable Delivery,185,89,915.75,440.55
TE0000187,2025-04-29,PR0001,CN012,5.3,0,5.3,Admin,0,89,0.0,471.7
TE0000188,2025-04-30,PR0001,CN012,4.3,0,4.3,Enablement,0,89,0.0,382.7
TE0000189,2025-05-01,PR0001,CN012,4.25,4.25,0,Billable Delivery,185,89,786.25,378.25
TE0000190,2025-05-02,PR0001,CN012,5.24,5.24,0,Billable Delivery,185,89,969.4,466.36
TE0000191,2025-05-06,PR0001,CN012,3.61,3.61,0,Billable Delivery,185,89,667.85,321.29
TE0000192,2025-05-07,PR0001,CN012,4.1,4.1,0,Billable Delivery,185,89,758.5,364.9
TE0000193,2025-05-08,PR0001,CN012,3.81,3.81,0,Billable Delivery,185,89,704.85,339.09
TE0000194,2025-05-12,PR0001,CN012,3.08,3.08,0,Billable Delivery,185,89,569.8,274.12
TE0000195,2025-05-13,PR0001,CN012,3.98,3.98,0,Billable Delivery,185,89,736.3,354.22
TE0000196,2025-05-14,PR0001,CN012,2.1,2.1,0,Billable Delivery,185,89,388.5,186.9
TE0000197,2025-05-15,PR0001,CN012,2.47,2.47,0,Billable Delivery,185,89,456.95,219.83
TE0000198,2025-05-20,PR0001,CN012,2.45,2.45,0,Billable Delivery,185,89,453.25,218.05
TE0000199,2025-05-21,PR0001,CN012,6.43,6.43,0,Billable Delivery,185,89,1189.55,572.27
TE0000200,2025-05-26,PR0001,CN012,3.96,3.96,0,Billable Delivery,185,89,732.6,352.44
TE0000201,2025-05-27,PR0001,CN012,3.68,3.68,0,Billable Delivery,185,89,680.8,327.52
TE0000202,2025-05-28,PR0001,CN012,2.95,2.95,0,Billable Delivery,185,89,545.75,262.55
TE0000203,2025-05-29,PR0001,CN012,5.48,5.48,0,Billable Delivery,185,89,1013.8,487.72
TE0000204,2025-05-30,PR0001,CN012,4.8,4.8,0,Billable Delivery,185,89,888.0,427.2
TE0000205,2025-06-03,PR0001,CN012,5.02,5.02,0,Billable Delivery,185,89,928.7,446.78
TE0000206,2025-06-04,PR0001,CN012,3.57,3.57,0,Billable Delivery,185,89,660.45,317.73
TE0000207,2025-06-05,PR0001,CN012,3.47,0,3.47,Enablement,0,89,0.0,308.83
TE0000208,2025-06-06,PR0001,CN012,4.08,4.08,0,Billable Delivery,185,89,754.8,363.12
TE0000209,2025-06-09,PR0001,CN012,4.64,4.64,0,Billable Delivery,185,89,858.4,412.96
TE0000210,2025-06-11,PR0001,CN012,1.3,1.3,0,Billable Delivery,185,89,240.5,115.7
TE0000211,2025-06-12,PR0001,CN012,3.07,3.07,0,Billable Delivery,185,89,567.95,273.23
TE0000212,2025-06-13,PR0001,CN012,1.65,1.65,0,Billable Delivery,185,89,305.25,146.85
TE0000213,2025-06-16,PR0001,CN012,3.27,3.27,0,Billable Delivery,185,89,604.95,291.03
TE0000214,2025-06-17,PR0001,CN012,0.62,0.62,0,Billable Delivery,185,89,114.7,55.18
TE0000215,2025-06-19,PR0001,CN012,1.8,0,1.8,Enablement,0,89,0.0,160.2
TE0000216,2025-06-20,PR0001,CN012,4.23,4.23,0,Billable Delivery,185,89,782.55,376.47
TE0000217,2025-06-23,PR0001,CN012,3.74,0,3.74,Enablement,0,89,0.0,332.86
TE0000218,2025-06-26,PR0001,CN012,1.88,1.88,0,Billable Delivery,185,89,347.8,167.32
TE0000219,2025-06-27,PR0001,CN012,1.38,0,1.38,Enablement,0,89,0.0,122.82
TE0000220,2025-06-30,PR0001,CN012,3.6,3.6,0,Billable Delivery,185,89,666.0,320.4
TE0000221,2025-07-03,PR0001,CN012,1.79,1.79,0,Billable Delivery,185,89,331.15,159.31
TE0000222,2025-07-04,PR0001,CN012,1.52,1.52,0,Billable Delivery,185,89,281.2,135.28
TE0000223,2025-07-07,PR0001,CN012,4.27,4.27,0,Billable Delivery,185,89,789.95,380.03
TE0000224,2025-07-08,PR0001,CN012,4.52,4.52,0,Billable Delivery,185,89,836.2,402.28
TE0000225,2025-07-10,PR0001,CN012,4.69,4.69,0,Billable Delivery,185,89,867.65,417.41
TE0000226,2025-07-11,PR0001,CN012,2.15,2.15,0,Billable Delivery,185,89,397.75,191.35
TE0000227,2025-07-14,PR0001,CN012,5.77,5.77,0,Billable Delivery,185,89,1067.45,513.53
TE0000228,2025-07-15,PR0001,CN012,1.19,1.19,0,Billable Delivery,185,89,220.15,105.91
TE0000229,2025-07-16,PR0001,CN012,4.01,4.01,0,Billable Delivery,185,89,741.85,356.89
TE0000230,2025-07-17,PR0001,CN012,3.49,3.49,0,Billable Delivery,185,89,645.65,310.61
TE0000231,2025-07-23,PR0001,CN012,2.16,2.16,0,Billable Delivery,185,89,399.6,192.24
TE0000232,2025-07-24,PR0001,CN012,4.17,4.17,0,Billable Delivery,185,89,771.45,371.13
TE0000233,2025-07-28,PR0001,CN012,3.03,3.03,0,Billable Delivery,185,89,560.55,269.67
TE0000234,2025-07-29,PR0001,CN012,4.44,4.44,0,Billable Delivery,185,89,821.4,395.16
TE0000235,2025-07-31,PR0001,CN012,2.74,2.74,0,Billable Delivery,185,89,506.9,243.86
TE0000236,2025-08-01,PR0001,CN012,3.34,0,3.34,Admin,0,89,0.0,297.26
TE0000237,2025-08-04,PR0001,CN012,2.51,2.51,0,Billable Delivery,185,89,464.35,223.39
TE0000238,2025-08-05,PR0001,CN012,4.54,4.54,0,Billable Delivery,185,89,839.9,404.06
TE0000239,2025-08-07,PR0001,CN012,3.33,0,3.33,Enablement,0,89,0.0,296.37
TE0000240,2025-08-08,PR0001,CN012,3.19,3.19,0,Billable Delivery,185,89,590.15,283.91
TE0000241,2025-08-12,PR0001,CN012,4.35,4.35,0,Billable Delivery,185,89,804.75,387.15
TE0000242,2025-08-13,PR0001,CN012,3.44,3.44,0,Billable Delivery,185,89,636.4,306.16
TE0000243,2025-08-14,PR0001,CN012,3.27,3.27,0,Billable Delivery,185,89,604.95,291.03
TE0000244,2025-08-15,PR0001,CN012,2.85,2.85,0,Billable Delivery,185,89,527.25,253.65
TE0000245,2025-08-18,PR0001,CN012,2.56,2.56,0,Billable Delivery,185,89,473.6,227.84
TE0000246,2025-08-19,PR0001,CN012,1.67,1.67,0,Billable Delivery,185,89,308.95,148.63
TE0000247,2025-03-24,PR0001,CN118,6.11,0,6.11,Rework,0,63,0.0,384.93
TE0000248,2025-03-25,PR0001,CN118,6.38,6.38,0,Billable Delivery,150,63,957.0,401.94
TE0000249,2025-03-26,PR0001,CN118,3.88,3.88,0,Billable Delivery,150,63,582.0,244.44
TE0000250,2025-03-27,PR0001,CN118,7.14,7.14,0,Billable Delivery,150,63,1071.0,449.82
TE0000251,2025-03-28,PR0001,CN118,7.39,7.39,0,Billable Delivery,150,63,1108.5,465.57
TE0000252,2025-04-03,PR0001,CN118,6.53,6.53,0,Billable Delivery,150,63,979.5,411.39
TE0000253,2025-04-04,PR0001,CN118,5.95,5.95,0,Billable Delivery,150,63,892.5,374.85
TE0000254,2025-04-07,PR0001,CN118,5.48,5.48,0,Billable Delivery,150,63,822.0,345.24
TE0000255,2025-04-08,PR0001,CN118,8.73,8.73,0,Billable Delivery,150,63,1309.5,549.99
TE0000256,2025-04-09,PR0001,CN118,6.92,6.92,0,Billable Delivery,150,63,1038.0,435.96
TE0000257,2025-04-10,PR0001,CN118,4.61,4.61,0,Billable Delivery,150,63,691.5,290.43
TE0000258,2025-04-11,PR0001,CN118,4.72,4.72,0,Billable Delivery,150,63,708.0,297.36
TE0000259,2025-04-14,PR0001,CN118,6.54,6.54,0,Billable Delivery,150,63,981.0,412.02
TE0000260,2025-04-15,PR0001,CN118,4.84,4.84,0,Billable Delivery,150,63,726.0,304.92
TE0000261,2025-04-16,PR0001,CN118,4.73,4.73,0,Billable Delivery,150,63,709.5,297.99
TE0000262,2025-04-17,PR0001,CN118,6.53,6.53,0,Billable Delivery,150,63,979.5,411.39
TE0000263,2025-04-21,PR0001,CN118,6.57,6.57,0,Billable Delivery,150,63,985.5,413.91
TE0000264,2025-04-23,PR0001,CN118,6.99,6.99,0,Billable Delivery,150,63,1048.5,440.37
TE0000265,2025-04-24,PR0001,CN118,7.94,7.94,0,Billable Delivery,150,63,1191.0,500.22
TE0000266,2025-04-25,PR0001,CN118,5.13,5.13,0,Billable Delivery,150,63,769.5,323.19
TE0000267,2025-04-28,PR0001,CN118,5.46,0,5.46,Internal,0,63,0.0,343.98
TE0000268,2025-04-29,PR0001,CN118,5.44,5.44,0,Billable Delivery,150,63,816.0,342.72
