assignment_id,project_id,consultant_id,allocation_pct,assignment_role,assigned_start_date,assigned_end_date
AS00043,PR0006,CN017,0.5,Consultant,2024-09-29,2025-06-19
AS00044,PR0006,CN028,0.6,Lead Consultant,2024-09-29,2025-06-19
AS00045,PR0006,CN016,1.0,QA Engineer,2024-09-29,2025-06-19
AS00046,PR0007,CN012,0.4,Solution Architect,2025-11-03,2026-02-21
AS00047,PR0007,CN027,0.6,Solution Architect,2025-11-03,2026-02-21
AS00048,PR0007,CN105,0.6,Project Manager,2025-11-03,2026-02-21
AS00049,PR0007,CN007,0.25,Lead Consultant,2025-11-03,2026-02-21
AS00050,PR0007,CN098,0.4,Data Engineer,2025-11-03,2026-02-21
AS00051,PR0007,CN088,1.0,Senior Consultant,2025-11-03,2026-02-21
AS00052,PR0007,CN109,0.4,QA Engineer,2025-11-03,2026-02-21
AS00053,PR0008,CN088,0.4,Senior Consultant,2026-01-27,2026-10-12
AS00054,PR0008,CN094,0.5,QA Engineer,2026-01-27,2026-10-12
AS00055,PR0008,CN117,0.75,QA Engineer,2026-01-27,2026-10-12
AS00056,PR0008,CN085,0.6,Senior Consultant,2026-01-27,2026-10-12
AS00057,PR0008,CN012,0.75,Solution Architect,2026-01-27,2026-10-12
AS00058,PR0008,CN081,0.4,Project Manager,2026-01-27,2026-10-12
AS00059,PR0008,CN003,0.25,Consultant,2026-01-27,2026-10-12
AS00060,PR0008,CN103,0.25,Consultant,2026-01-27,2026-10-12
AS00061,PR0009,CN065,0.6,Project Manager,2025-03-04,2025-11-18
AS00062,PR0009,CN008,0.5,QA Engineer,2025-03-04,2025-11-18
AS00063,PR0009,CN071,0.5,Solution Architect,2025-03-04,2025-11-18
AS00064,PR0009,CN010,0.6,Senior Consultant,2025-03-04,2025-11-18
AS00065,PR0009,CN013,0.75,QA Engineer,2025-03-04,2025-11-18
AS00066,PR0009,CN081,1.0,Project Manager,2025-03-04,2025-11-18
AS00067,PR0009,CN019,0.25,Consultant,2025-03-04,2025-11-18
AS00068,PR0009,CN026,0.25,Solution Architect,2025-03-04,2025-11-18
AS00069,PR0009,CN064,0.5,Solution Architect,2025-03-04,2025-11-18
AS00070,PR0009,CN049,0.4,Data Visualization Designer,2025-03-04,2025-11-18
AS00071,PR0010,CN002,0.75,Senior Consultant,2026-01-17,2026-07-30
AS00072,PR0010,CN009,0.75,QA Engineer,2026-01-17,2026-07-30
AS00073,PR0010,CN003,0.5,Consultant,2026-01-17,2026-07-30
AS00074,PR0010,CN037,0.4,Project Manager,2026-01-17,2026-07-30
AS00075,PR0010,CN046,0.4,QA Engineer,2026-01-17,2026-07-30
AS00076,PR0010,CN014,0.6,QA Engineer,2026-01-17,2026-07-30
AS00077,PR0010,CN027,0.6,Solution Architect,2026-01-17,2026-07-30
AS00078,PR0010,CN053,1.0,Data Engineer,2026-01-17,2026-07-30
AS00079,PR0010,CN091,0.25,Lead Consultant,2026-01-17,2026-07-30
AS00080,PR0010,CN044,0.25,Senior Consultant,2026-01-17,2026-07-30
AS00081,PR0010,CN103,0.75,Consultant,2026-01-17,2026-07-30
AS00082,PR0011,CN088,0.6,Senior Consultant,2025-08-02,2026-01-18
AS00083,PR0011,CN092,0.4,QA Engineer,2025-08-02,2026-01-18
AS00084,PR0011,CN116,0.6,Data Visualization Designer,2025-08-02,2026-01-18
AS00085,PR0011,CN110,0.75,Data Visualization Designer,2025-08-02,2026-01-18
AS00086,PR0011,CN023,1.0,Project Manager,2025-08-02,2026-01-18
AS00087,PR0011,CN111,0.6,Data Engineer,2025-08-02,2026-01-18
AS00088,PR0012,CN073,0.25,Data Engineer,2025-08-14,2026-04-29
AS00089,PR0012,CN107,0.75,Data Visualization Designer,2025-08-14,2026-04-29
AS00090,PR0012,CN097,0.4,Consultant,2025-08-14,2026-04-29
AS00091,PR0012,CN105,1.0,Project Manager,2025-08-14,2026-04-29
AS00092,PR0012,CN046,0.25,QA Engineer,2025-08-14,2026-04-29
AS00093,PR0012,CN033,0.6,Senior Consultant,2025-08-14,2026-04-29
AS00094,PR0012,CN049,0.6,Data Visualization Designer,2025-08-14,2026-04-29
AS00095,PR0012,CN088,0.6,Senior Consultant,2025-08-14,2026-04-29
AS00096,PR0012,CN044,0.6,Senior Consultant,2025-08-14,2026-04-29
AS00097,PR0013,CN116,1.0,Data Visualization Designer,2025-02-03,2025-06-19
AS00098,PR0013,CN014,0.75,QA Engineer,2025-02-03,2025-06-19
AS00099,PR0013,CN074,0.75,Senior Consultant,2025-02-03,2025-06-19
AS00100,PR0013,CN030,0.6,Solution Architect,2025-02-03,2025-06-19
AS00101,PR0013,CN097,0.4,Consultant,2025-02-03,2025-06-19
AS00102,PR0013,CN114,0.4,Data Engineer,2025-02-03,2025-06-19
AS00103,PR0013,CN044,0.4,Senior Consultant,2025-02-03,2025-06-19
AS00104,PR0014,CN007,0.25,Lead Consultant,2025-12-17,2026-09-05
AS00105,PR0014,CN019,1.0,Consultant,2025-12-17,2026-09-05
AS00106,PR0014,CN031,1.0,Data Visualization Designer,2025-12-17,2026-09-05
AS00107,PR0014,CN108,0.6,Consultant,2025-12-17,2026-09-05
AS00108,PR0015,CN048,0.5,Project Manager,2025-02-20,2025-06-08
AS00109,PR0015,CN018,0.4,QA Engineer,2025-02-20,2025-06-08
AS00110,PR0015,CN103,0.75,Consultant,2025-02-20,2025-06-08
AS00111,PR0015,CN042,0.75,Solution Architect,2025-02-20,2025-06-08
AS00112,PR0015,CN059,0.75,Senior Consultant,2025-02-20,2025-06-08
AS00113,PR0015,CN079,0.25,Consultant,2025-02-20,2025-06-08
AS00114,PR0015,CN008,1.0,QA Engineer,2025-02-20,2025-06-08
AS00115,PR0016,CN048,0.75,Project Manager,2024-10-23,2025-01-30
AS00116,PR0016,CN071,1.0,Solution Architect,2024-10-23,2025-01-30
AS00117,PR0016,CN015,0.4,Lead Consultant,2024-10-23,2025-01-30
AS00118,PR0016,CN013,0.4,QA Engineer,2024-10-23,2025-01-30
AS00119,PR0016,CN103,0.25,Consultant,2024-10-23,2025-01-30
AS00120,PR0017,CN020,0.25,Project Manager,2024-11-21,2025-06-29
AS00121,PR0017,CN001,0.5,Data Visualization Designer,2024-11-21,2025-06-29
AS00122,PR0017,CN117,1.0,QA Engineer,2024-11-21,2025-06-29
AS00123,PR0017,CN096,0.6,QA Engineer,2024-11-21,2025-06-29
AS00124,PR0017,CN112,0.5,Consultant,2024-11-21,2025-06-29
AS00125,PR0017,CN019,1.0,Consultant,2024-11-21,2025-06-29
AS00126,PR0017,CN071,1.0,Solution Architect,2024-11-21,2025-06-29
AS00127,PR0017,CN049,1.0,Data Visualization Designer,2024-11-21,2025-06-29
AS00128,PR0017,CN084,0.5,Consultant,2024-11-21,2025-06-29
AS00129,PR0017,CN009,0.4,QA Engineer,2024-11-21,2025-06-29
AS00130,PR0017,CN072,0.6,Consultant,2024-11-21,2025-06-29
AS00131,PR0018,CN037,0.75,Project Manager,2025-06-07,2026-01-05
AS00132,PR0018,CN054,0.75,Data Visualization Designer,2025-06-07,2026-01-05
AS00133,PR0018,CN093,1.0,QA Engineer,2025-06-07,2026-01-05
AS00134,PR0018,CN056,0.75,Consultant,2025-06-07,2026-01-05
AS00135,PR0018,CN033,0.25,Senior Consultant,2025-06-07,2026-01-05
AS00136,PR0018,CN059,0.5,Senior Consultant,2025-06-07,2026-01-05
AS00137,PR0018,CN070,0.75,QA Engineer,2025-06-07,2026-01-05
AS00138,PR0018,CN071,0.6,Solution Architect,2025-06-07,2026-01-05
AS00139,PR0018,CN108,0.25,Consultant,2025-06-07,2026-01-05
AS00140,PR0018,CN004,0.25,Lead Consultant,2025-06-07,2026-01-05
AS00141,PR0018,CN058,0.4,Senior Consultant,2025-06-07,2026-01-05
AS00142,PR0019,CN108,0.4,Consultant,2024-09-16,2025-03-01
AS00143,PR0019,CN030,0.4,Solution Architect,2024-09-16,2025-03-01
AS00144,PR0019,CN103,0.6,Consultant,2024-09-16,2025-03-01
AS00145,PR0019,CN093,0.6,QA Engineer,2024-09-16,2025-03-01
AS00146,PR0019,CN009,0.75,QA Engineer,2024-09-16,2025-03-01
AS00147,PR0019,CN068,0.75,Lead Consultant,2024-09-16,2025-03-01
AS00148,PR0019,CN023,1.0,Project Manager,2024-09-16,2025-03-01
AS00149,PR0020,CN112,0.75,Consultant,2025-01-08,2025-04-11
AS00150,PR0020,CN117,0.25,QA Engineer,2025-01-08,2025-04-11
AS00151,PR0020,CN115,0.4,QA Engineer,2025-01-08,2025-04-11
AS00152,PR0020,CN024,0.75,Consultant,2025-01-08,2025-04-11
AS00153,PR0020,CN099,0.5,Solution Architect,2025-01-08,2025-04-11
AS00154,PR0021,CN079,0.75,Consultant,2026-01-12,2026-04-17
AS00155,PR0021,CN051,0.25,Data Visualization Designer,2026-01-12,2026-04-17
AS00156,PR0021,CN118,1.0,Senior Consultant,2026-01-12,2026-04-17
AS00157,PR0021,CN054,0.6,Data Visualization Designer,2026-01-12,2026-04-17
AS00158,PR0021,CN032,0.4,Solution Architect,2026-01-12,2026-04-17
AS00159,PR0021,CN019,0.5,Consultant,2026-01-12,2026-04-17
AS00160,PR0021,CN066,0.4,Consultant,2026-01-12,2026-04-17
AS00161,PR0021,CN010,0.6,Senior Consultant,2026-01-12,2026-04-17
AS00162,PR0021,CN099,0.25,Solution Architect,2026-01-12,2026-04-17
AS00163,PR0022,CN063,0.5,QA Engineer,2024-09-27,2025-03-25
AS00164,PR0022,CN105,1.0,Project Manager,2024-09-27,2025-03-25
AS00165,PR0022,CN078,0.75,Lead Consultant,2024-09-27,2025-03-25
AS00166,PR0022,CN008,1.0,QA Engineer,2024-09-27,2025-03-25
AS00167,PR0022,CN012,1.0,Solution Architect,2024-09-27,2025-03-25
AS00168,PR0022,CN094,0.5,QA Engineer,2024-09-27,2025-03-25
AS00169,PR0023,CN051,0.5,Data Visualization Designer,2025-02-24,2025-06-08
AS00170,PR0023,CN118,0.75,Senior Consultant,2025-02-24,2025-06-08
AS00171,PR0023,CN047,0.6,Lead Consultant,2025-02-24,2025-06-08
AS00172,PR0023,CN086,0.75,Project Manager,2025-02-24,2025-06-08
AS00173,PR0024,CN003,0.6,Consultant,2025-10-08,2026-07-03
AS00174,PR0024,CN010,0.6,Senior Consultant,2025-10-08,2026-07-03
AS00175,PR0024,CN075,0.25,Consultant,2025-10-08,2026-07-03
AS00176,PR0024,CN093,1.0,QA Engineer,2025-10-08,2026-07-03
AS00177,PR0024,CN074,0.6,Senior Consultant,2025-10-08,2026-07-03
AS00178,PR0024,CN055,0.25,Consultant,2025-10-08,2026-07-03
AS00179,PR0024,CN090,0.75,Data Visualization Designer,2025-10-08,2026-07-03
AS00180,PR0024,CN045,0.25,Consultant,2025-10-08,2026-07-03
AS00181,PR0025,CN104,0.4,Data Engineer,2026-01-14,2026-08-21
AS00182,PR0025,CN092,0.75,QA Engineer,2026-01-14,2026-08-21
AS00183,PR0025,CN062,0.5,Consultant,2026-01-14,2026-08-21
AS00184,PR0025,CN076,0.6,Lead Consultant,2026-01-14,2026-08-21
AS00185,PR0025,CN061,0.75,Consultant,2026-01-14,2026-08-21
AS00186,PR0026,CN038,0.5,Consultant,2024-11-30,2025-02-06
AS00187,PR0026,CN045,0.75,Consultant,2024-11-30,2025-02-06
AS00188,PR0026,CN103,0.4,Consultant,2024-11-30,2025-02-06
AS00189,PR0026,CN113,0.6,QA Engineer,2024-11-30,2025-02-06
AS00190,PR0027,CN034,0.4,Data Visualization Designer,2025-11-26,2026-05-28
AS00191,PR0027,CN074,0.5,Senior Consultant,2025-11-26,2026-05-28
AS00192,PR0027,CN055,0.4,Consultant,2025-11-26,2026-05-28
AS00193,PR0027,CN084,1.0,Consultant,2025-11-26,2026-05-28
AS00194,PR0027,CN033,1.0,Senior Consultant,2025-11-26,2026-05-28
AS00195,PR0027,CN120,0.5,Data Engineer,2025-11-26,2026-05-28
AS00196,PR0027,CN111,0.5,Data Engineer,2025-11-26,2026-05-28
AS00197,PR0027,CN069,1.0,Data Engineer,2025-11-26,2026-05-28
AS00198,PR0027,CN026,1.0,Solution Architect,2025-11-26,2026-05-28
AS00199,PR0027,CN117,0.4,QA Engineer,2025-11-26,2026-05-28
AS00200,PR0027,CN065,0.4,Project Manager,2025-11-26,2026-05-28
AS00201,PR0028,CN042,0.5,Solution Architect,2025-02-04,2025-09-26
AS00202,PR0028,CN026,0.75,Solution Architect,2025-02-04,2025-09-26
AS00203,PR0028,CN052,0.75,Data Engineer,2025-02-04,2025-09-26
AS00204,PR0028,CN089,0.6,QA Engineer,2025-02-04,2025-09-26
AS00205,PR0029,CN018,0.25,QA Engineer,2025-10-08,2026-04-28
AS00206,PR0029,CN045,0.25,Consultant,2025-10-08,2026-04-28
AS00207,PR0029,CN057,0.6,Data Engineer,2025-10-08,2026-04-28
AS00208,PR0029,CN091,0.4,Lead Consultant,2025-10-08,2026-04-28
AS00209,PR0029,CN041,0.25,Data Visualization Designer,2025-10-08,2026-04-28
AS00210,PR0029,CN062,0.5,Consultant,2025-10-08,2026-04-28
AS00211,PR0029,CN096,1.0,QA Engineer,2025-10-08,2026-04-28
AS00212,PR0029,CN114,0.5,Data Engineer,2025-10-08,2026-04-28
AS00213,PR0029,CN067,0.5,Senior Consultant,2025-10-08,2026-04-28
AS00214,PR0030,CN072,0.4,Consultant,2025-10-25,2026-03-26
AS00215,PR0030,CN042,0.75,Solution Architect,2025-10-25,2026-03-26
AS00216,PR0030,CN020,0.25,Project Manager,2025-10-25,2026-03-26
AS00217,PR0030,CN029,0.6,Project Manager,2025-10-25,2026-03-26
AS00218,PR0030,CN085,0.4,Senior Consultant,2025-10-25,2026-03-26
AS00219,PR0030,CN047,0.75,Lead Consultant,2025-10-25,2026-03-26
AS00220,PR0030,CN067,0.4,Senior Consultant,2025-10-25,2026-03-26
AS00221,PR0030,CN082,1.0,Project Manager,2025-10-25,2026-03-26
AS00222,PR0030,CN035,0.25,Data Visualization Designer,2025-10-25,2026-03-26
AS00223,PR0030,CN069,0.4,Data Engineer,2025-10-25,2026-03-26
AS00224,PR0030,CN071,0.75,Solution Architect,2025-10-25,2026-03-26
AS00225,PR0031,CN105,0.5,Project Manager,2024-12-22,2025-06-29
AS00226,PR0031,CN110,0.6,Data Visualization Designer,2024-12-22,2025-06-29
AS00227,PR0031,CN069,0.75,Data Engineer,2024-12-22,2025-06-29
AS00228,PR0031,CN098,0.5,Data Engineer,2024-12-22,2025-06-29
AS00229,PR0032,CN099,0.75,Solution Architect,2025-11-24,2026-05-22
AS00230,PR0032,CN111,0.4,Data Engineer,2025-11-24,2026-05-22
AS00231,PR0032,CN085,0.25,Senior Consultant,2025-11-24,2026-05-22
AS00232,PR0032,CN040,0.5,Consultant,2025-11-24,2026-05-22
AS00233,PR0032,CN036,0.25,Lead Consultant,2025-11-24,2026-05-22
AS00234,PR0032,CN060,1.0,Project Manager,2025-11-24,2026-05-22
AS00235,PR0032,CN066,1.0,Consultant,2025-11-24,2026-05-22
AS00236,PR0032,CN102,0.6,Project Manager,2025-11-24,2026-05-22
AS00237,PR0033,CN074,0.75,Senior Consultant,2025-11-04,2026-06-12
AS00238,PR0033,CN089,0.25,QA Engineer,2025-11-04,2026-06-12
AS00239,PR0033,CN064,0.6,Solution Architect,2025-11-04,2026-06-12
AS00240,PR0033,CN012,0.5,Solution Architect,2025-11-04,2026-06-12
AS00241,PR0033,CN065,0.4,Project Manager,2025-11-04,2026-06-12
AS00242,PR0034,CN073,0.6,Data Engineer,2025-04-28,2025-10-29
AS00243,PR0034,CN042,1.0,Solution Architect,2025-04-28,2025-10-29
AS00244,PR0034,CN112,1.0,Consultant,2025-04-28,2025-10-29
AS00245,PR0034,CN030,0.4,Solution Architect,2025-04-28,2025-10-29
AS00246,PR0034,CN046,0.4,QA Engineer,2025-04-28,2025-10-29
AS00247,PR0034,CN088,0.4,Senior Consultant,2025-04-28,2025-10-29
AS00248,PR0034,CN072,1.0,Consultant,2025-04-28,2025-10-29
AS00249,PR0034,CN034,0.75,Data Visualization Designer,2025-04-28,2025-10-29
AS00250,PR0035,CN049,0.6,Data Visualization Designer,2025-12-11,2026-08-16
AS00251,PR0035,CN097,1.0,Consultant,2025-12-11,2026-08-16
AS00252,PR0035,CN111,0.5,Data Engineer,2025-12-11,2026-08-16
AS00253,PR0035,CN071,0.6,Solution Architect,2025-12-11,2026-08-16
AS00254,PR0035,CN116,0.25,Data Visualization Designer,2025-12-11,2026-08-16
AS00255,PR0035,CN090,0.25,Data Visualization Designer,2025-12-11,2026-08-16
AS00256,PR0035,CN070,0.75,QA Engineer,2025-12-11,2026-08-16
AS00257,PR0035,CN112,0.75,Consultant,2025-12-11,2026-08-16
AS00258,PR0035,CN099,1.0,Solution Architect,2025-12-11,2026-08-16
AS00259,PR0036,CN020,0.6,Project Manager,2024-10-23,2025-07-12
AS00260,PR0036,CN003,1.0,Consultant,2024-10-23,2025-07-12
AS00261,PR0036,CN095,1.0,Data Visualization Designer,2024-10-23,2025-07-12
AS00262,PR0036,CN098,0.5,Data Engineer,2024-10-23,2025-07-12
AS00263,PR0036,CN019,0.75,Consultant,2024-10-23,2025-07-12
AS00264,PR0036,CN064,0.25,Solution Architect,2024-10-23,2025-07-12
AS00265,PR0036,CN002,0.6,Senior Consultant,2024-10-23,2025-07-12
AS00266,PR0036,CN066,1.0,Consultant,2024-10-23,2025-07-12
AS00267,PR0036,CN089,0.6,QA Engineer,2024-10-23,2025-07-12
AS00268,PR0036,CN039,0.5,Data Visualization Designer,2024-10-23,2025-07-12
AS00269,PR0036,CN030,1.0,Solution Architect,2024-10-23,2025-07-12
AS00270,PR0037,CN062,0.25,Consultant,2026-02-01,2026-10-22
AS00271,PR0037,CN038,0.6,Consultant,2026-02-01,2026-10-22
AS00272,PR0037,CN091,0.75,Lead Consultant,2026-02-01,2026-10-22
AS00273,PR0037,CN117,0.5,QA Engineer,2026-02-01,2026-10-22
AS00274,PR0037,CN061,0.6,Consultant,2026-02-01,2026-10-22
AS00275,PR0037,CN034,0.6,Data Visualization Designer,2026-02-01,2026-10-22
AS00276,PR0037,CN064,0.5,Solution Architect,2026-02-01,2026-10-22
AS00277,PR0037,CN078,0.75,Lead Consultant,2026-02-01,2026-10-22
AS00278,PR0037,CN006,0.5,Consultant,2026-02-01,2026-10-22
AS00279,PR0037,CN047,0.5,Lead Consultant,2026-02-01,2026-10-22
AS00280,PR0037,CN093,0.25,QA Engineer,2026-02-01,2026-10-22
AS00281,PR0038,CN036,0.4,Lead Consultant,2024-10-08,2025-02-02
AS00282,PR0038,CN030,0.75,Solution Architect,2024-10-08,2025-02-02
AS00283,PR0038,CN071,0.5,Solution Architect,2024-10-08,2025-02-02
AS00284,PR0038,CN051,0.5,Data Visualization Designer,2024-10-08,2025-02-02
AS00285,PR0038,CN075,0.75,Consultant,2024-10-08,2025-02-02
AS00286,PR0038,CN043,1.0,Consultant,2024-10-08,2025-02-02
AS00287,PR0038,CN014,1.0,QA Engineer,2024-10-08,2025-02-02
AS00288,PR0038,CN056,0.6,Consultant,2024-10-08,2025-02-02
AS00289,PR0038,CN115,0.25,QA Engineer,2024-10-08,2025-02-02
AS00290,PR0039,CN045,0.4,Consultant,2025-03-16,2025-10-08
AS00291,PR0039,CN029,0.5,Project Manager,2025-03-16,2025-10-08
AS00292,PR0039,CN120,0.5,Data Engineer,2025-03-16,2025-10-08
AS00293,PR0039,CN019,0.75,Consultant,2025-03-16,2025-10-08
AS00294,PR0039,CN118,0.5,Senior Consultant,2025-03-16,2025-10-08
AS00295,PR0039,CN090,0.4,Data Visualization Designer,2025-03-16,2025-10-08
AS00296,PR0039,CN074,0.5,Senior Consultant,2025-03-16,2025-10-08
AS00297,PR0039,CN081,0.25,Project Manager,2025-03-16,2025-10-08
AS00298,PR0039,CN117,0.75,QA Engineer,2025-03-16,2025-10-08
AS00299,PR0039,CN050,0.4,Senior Consultant,2025-03-16,2025-10-08
AS00300,PR0040,CN030,0.25,Solution Architect,2024-11-12,2025-04-23
AS00301,PR0040,CN083,1.0,Project Manager,2024-11-12,2025-04-23
AS00302,PR0040,CN009,0.4,QA Engineer,2024-11-12,2025-04-23
AS00303,PR0040,CN049,0.6,Data Visualization Designer,2024-11-12,2025-04-23
AS00304,PR0040,CN042,0.5,Solution Architect,2024-11-12,2025-04-23
AS00305,PR0040,CN015,0.5,Lead Consultant,2024-11-12,2025-04-23
AS00306,PR0041,CN073,0.6,Data Engineer,2024-12-03,2025-03-30
AS00307,PR0041,CN086,0.5,Project Manager,2024-12-03,2025-03-30
AS00308,PR0041,CN021,0.4,Data Engineer,2024-12-03,2025-03-30
AS00309,PR0041,CN011,1.0,Senior Consultant,2024-12-03,2025-03-30
AS00310,PR0041,CN074,0.6,Senior Consultant,2024-12-03,2025-03-30
AS00311,PR0041,CN076,0.25,Lead Consultant,2024-12-03,2025-03-30
AS00312,PR0041,CN037,0.6,Project Manager,2024-12-03,2025-03-30
AS00313,PR0041,CN060,1.0,Project Manager,2024-12-03,2025-03-30
AS00314,PR0041,CN003,0.25,Consultant,2024-12-03,2025-03-30
AS00315,PR0041,CN068,0.4,Lead Consultant,2024-12-03,2025-03-30
AS00316,PR0041,CN020,0.5,Project Manager,2024-12-03,2025-03-30
AS00317,PR0042,CN085,0.75,Senior Consultant,2025-12-01,2026-03-30
AS00318,PR0042,CN104,1.0,Data Engineer,2025-12-01,2026-03-30
AS00319,PR0042,CN001,1.0,Data Visualization Designer,2025-12-01,2026-03-30
AS00320,PR0042,CN075,1.0,Consultant,2025-12-01,2026-03-30
AS00321,PR0042,CN112,0.5,Consultant,2025-12-01,2026-03-30
AS00322,PR0042,CN038,1.0,Consultant,2025-12-01,2026-03-30
AS00323,PR0042,CN066,0.5,Consultant,2025-12-01,2026-03-30
AS00324,PR0043,CN065,0.6,Project Manager,2025-06-08,2025-10-26
AS00325,PR0043,CN017,1.0,Consultant,2025-06-08,2025-10-26
AS00326,PR0043,CN038,0.6,Consultant,2025-06-08,2025-10-26
AS00327,PR0043,CN041,0.5,Data Visualization Designer,2025-06-08,2025-10-26
AS00328,PR0043,CN027,0.4,Solution Architect,2025-06-08,2025-10-26
AS00329,PR0043,CN069,0.6,Data Engineer,2025-06-08,2025-10-26
AS00330,PR0043,CN073,0.4,Data Engineer,2025-06-08,2025-10-26
AS00331,PR0043,CN061,0.25,Consultant,2025-06-08,2025-10-26
AS00332,PR0044,CN025,0.4,Data Engineer,2025-02-14,2025-10-15
AS00333,PR0044,CN088,0.5,Senior Consultant,2025-02-14,2025-10-15
AS00334,PR0044,CN040,0.5,Consultant,2025-02-14,2025-10-15
AS00335,PR0044,CN044,0.25,Senior Consultant,2025-02-14,2025-10-15
AS00336,PR0044,CN071,0.75,Solution Architect,2025-02-14,2025-10-15
AS00337,PR0044,CN064,0.25,Solution Architect,2025-02-14,2025-10-15
AS00338,PR0044,CN043,0.25,Consultant,2025-02-14,2025-10-15
AS00339,PR0044,CN075,0.5,Consultant,2025-02-14,2025-10-15
AS00340,PR0044,CN019,1.0,Consultant,2025-02-14,2025-10-15
AS00341,PR0044,CN054,0.75,Data Visualization Designer,2025-02-14,2025-10-15
AS00342,PR0044,CN060,0.6,Project Manager,2025-02-14,2025-10-15
AS00343,PR0045,CN111,0.4,Data Engineer,2025-01-23,2025-04-13
AS00344,PR0045,CN064,0.5,Solution Architect,2025-01-23,2025-04-13
AS00345,PR0045,CN106,0.25,Data Visualization Designer,2025-01-23,2025-04-13
AS00346,PR0045,CN074,1.0,Senior Consultant,2025-01-23,2025-04-13
AS00347,PR0045,CN018,0.25,QA Engineer,2025-01-23,2025-04-13
AS00348,PR0045,CN058,0.75,Senior Consultant,2025-01-23,2025-04-13
AS00349,PR0045,CN115,0.25,QA Engineer,2025-01-23,2025-04-13
AS00350,PR0045,CN014,1.0,QA Engineer,2025-01-23,2025-04-13
AS00351,PR0045,CN042,0.5,Solution Architect,2025-01-23,2025-04-13
AS00352,PR0046,CN111,0.6,Data Engineer,2025-01-29,2025-07-18
AS00353,PR0046,CN016,0.25,QA Engineer,2025-01-29,2025-07-18
AS00354,PR0046,CN048,0.75,Project Manager,2025-01-29,2025-07-18
AS00355,PR0046,CN071,0.5,Solution Architect,2025-01-29,2025-07-18
AS00356,PR0046,CN022,0.6,Lead Consultant,2025-01-29,2025-07-18
AS00357,PR0046,CN115,0.75,QA Engineer,2025-01-29,2025-07-18
