milestone_id,project_id,milestone_name,planned_date,actual_date,milestone_status,days_late
MS00048,PR0010,Build Complete,2026-05-15,2026-05-17,On Time,2
MS00049,PR0010,UAT Complete,2026-06-23,,Pending,
MS00050,PR0010,Production Launch,2026-08-01,,Pending,
MS00051,PR0011,Discovery Complete,2025-08-31,2025-09-09,Late,9
MS00052,PR0011,Design Approved,2025-09-29,2025-10-04,Late,5
MS00053,PR0011,Build Complete,2025-10-27,2025-10-27,On Time,0
MS00054,PR0011,UAT Complete,2025-11-25,2025-11-20,On Time,0
MS00055,PR0011,Production Launch,2025-12-24,2025-12-24,On Time,0
MS00056,PR0012,Discovery Complete,2025-10-03,2025-10-24,Late,21
MS00057,PR0012,Design Approved,2025-11-22,2025-11-24,On Time,2
MS00058,PR0012,Build Complete,2026-01-10,2026-01-05,On Time,0
MS00059,PR0012,UAT Complete,2026-03-01,2026-03-03,On Time,2
MS00060,PR0012,Production Launch,2026-04-20,2026-04-25,Late,5
MS00061,PR0013,Discovery Complete,2025-02-27,2025-02-25,On Time,0
MS00062,PR0013,Design Approved,2025-03-24,2025-03-26,On Time,2
MS00063,PR0013,Build Complete,2025-04-17,2025-04-15,On Time,0
MS00064,PR0013,UAT Complete,2025-05-12,2025-05-10,On Time,0
MS00065,PR0013,Production Launch,2025-06-05,2025-06-10,Late,5
MS00066,PR0014,Discovery Complete,2026-02-05,2026-02-10,Late,5
MS00067,PR0014,Design Approved,2026-03-27,2026-03-27,On Time,0
MS00068,PR0014,Build Complete,2026-05-16,2026-05-21,Late,5
MS00069,PR0014,UAT Complete,2026-07-05,,Pending,
MS00070,PR0014,Production Launch,2026-08-24,,Pending,
MS00071,PR0015,Discovery Complete,2025-03-13,2025-03-15,On Time,2
MS00072,PR0015,Design Approved,2025-04-02,2025-04-16,Late,14
MS00073,PR0015,Build Complete,2025-04-23,2025-05-02,Late,9
MS00074,PR0015,UAT Complete,2025-05-13,2025-05-13,On Time,0
MS00075,PR0015,Production Launch,2025-06-03,2025-06-03,On Time,0
MS00076,PR0016,Discovery Complete,2024-11-06,2024-11-27,Late,21
MS00077,PR0016,Design Approved,2024-11-21,2024-11-19,On Time,0
MS00078,PR0016,Build Complete,2024-12-05,2024-12-07,On Time,2
MS00079,PR0016,UAT Complete,2024-12-20,2024-12-20,On Time,0
MS00080,PR0016,Production Launch,2025-01-03,2025-01-08,Late,5
MS00081,PR0017,Discovery Complete,2025-01-01,2025-01-01,On Time,0
MS00082,PR0017,Design Approved,2025-02-11,2025-02-16,Late,5
MS00083,PR0017,Build Complete,2025-03-25,2025-03-27,On Time,2
MS00084,PR0017,UAT Complete,2025-05-05,2025-05-10,Late,5
MS00085,PR0017,Production Launch,2025-06-15,2025-06-29,Late,14
MS00086,PR0018,Discovery Complete,2025-07-17,2025-07-22,Late,5
MS00087,PR0018,Design Approved,2025-08-26,2025-08-26,On Time,0
MS00088,PR0018,Build Complete,2025-10-04,2025-10-02,On Time,0
MS00089,PR0018,UAT Complete,2025-11-13,2025-11-15,On Time,2
MS00090,PR0018,Production Launch,2025-12-23,2025-12-23,On Time,0
MS00091,PR0019,Discovery Complete,2024-10-13,2024-10-13,On Time,0
MS00092,PR0019,Design Approved,2024-11-09,2024-11-14,Late,5
MS00093,PR0019,Build Complete,2024-12-05,2024-12-05,On Time,0
MS00094,PR0019,UAT Complete,2025-01-01,2025-01-06,Late,5
MS00095,PR0019,Production Launch,2025-01-28,2025-01-30,On Time,2
MS00096,PR0020,Discovery Complete,2025-01-24,2025-01-22,On Time,0
MS00097,PR0020,Design Approved,2025-02-09,2025-02-14,Late,5
MS00098,PR0020,Build Complete,2025-02-24,2025-02-22,On Time,0
MS00099,PR0020,UAT Complete,2025-03-12,2025-03-14,On Time,2
MS00100,PR0020,Production Launch,2025-03-28,2025-03-26,On Time,0
MS00101,PR0021,Discovery Complete,2026-01-28,2026-01-28,On Time,0
MS00102,PR0021,Design Approved,2026-02-13,2026-02-13,On Time,0
MS00103,PR0021,Build Complete,2026-03-01,2026-03-01,On Time,0
MS00104,PR0021,UAT Complete,2026-03-17,2026-03-15,On Time,0
MS00105,PR0021,Production Launch,2026-04-02,2026-04-07,Late,5
MS00106,PR0022,Discovery Complete,2024-11-02,2024-11-02,On Time,0
MS00107,PR0022,Design Approved,2024-12-08,2024-12-08,On Time,0
MS00108,PR0022,Build Complete,2025-01-12,2025-01-21,Late,9
MS00109,PR0022,UAT Complete,2025-02-17,2025-02-26,Late,9
MS00110,PR0022,Production Launch,2025-03-25,2025-04-03,Late,9
MS00111,PR0023,Discovery Complete,2025-03-09,2025-03-09,On Time,0
MS00112,PR0023,Design Approved,2025-03-23,2025-04-01,Late,9
MS00113,PR0023,Build Complete,2025-04-05,2025-04-10,Late,5
MS00114,PR0023,UAT Complete,2025-04-19,2025-05-03,Late,14
MS00115,PR0023,Production Launch,2025-05-02,2025-04-27,On Time,0
MS00116,PR0024,Discovery Complete,2025-11-28,2025-11-30,On Time,2
MS00117,PR0024,Design Approved,2026-01-18,2026-01-13,On Time,0
MS00118,PR0024,Build Complete,2026-03-11,2026-03-13,On Time,2
MS00119,PR0024,UAT Complete,2026-05-01,2026-04-26,On Time,0
MS00120,PR0024,Production Launch,2026-06-21,,Pending,
MS00121,PR0025,Discovery Complete,2026-02-18,2026-03-04,Late,14
MS00122,PR0025,Design Approved,2026-03-25,2026-03-25,On Time,0
MS00123,PR0025,Build Complete,2026-04-28,2026-05-07,Late,9
MS00124,PR0025,UAT Complete,2026-06-02,,Pending,
MS00125,PR0025,Production Launch,2026-07-07,,Pending,
MS00126,PR0026,Discovery Complete,2024-12-13,2024-12-13,On Time,0
MS00127,PR0026,Design Approved,2024-12-27,2024-12-27,On Time,0
MS00128,PR0026,Build Complete,2025-01-09,2025-01-11,On Time,2
MS00129,PR0026,UAT Complete,2025-01-23,2025-01-28,Late,5
MS00130,PR0026,Production Launch,2025-02-05,2025-02-19,Late,14
MS00131,PR0027,Discovery Complete,2025-12-25,2025-12-25,On Time,0
MS00132,PR0027,Design Approved,2026-01-24,2026-01-26,On Time,2
MS00133,PR0027,Build Complete,2026-02-22,2026-02-22,On Time,0
MS00134,PR0027,UAT Complete,2026-03-24,2026-04-02,Late,9
MS00135,PR0027,Production Launch,2026-04-22,2026-04-17,On Time,0
MS00136,PR0028,Discovery Complete,2025-03-20,2025-03-18,On Time,0
MS00137,PR0028,Design Approved,2025-05-04,2025-05-09,Late,5
MS00138,PR0028,Build Complete,2025-06-17,2025-06-26,Late,9
MS00139,PR0028,UAT Complete,2025-08-01,2025-08-01,On Time,0
MS00140,PR0028,Production Launch,2025-09-14,2025-09-14,On Time,0
MS00141,PR0029,Discovery Complete,2025-11-18,2025-11-20,On Time,2
MS00142,PR0029,Design Approved,2025-12-29,2025-12-31,On Time,2
MS00143,PR0029,Build Complete,2026-02-07,2026-02-16,Late,9
MS00144,PR0029,UAT Complete,2026-03-20,2026-03-25,Late,5
MS00145,PR0029,Production Launch,2026-04-30,2026-04-28,On Time,0
MS00146,PR0030,Discovery Complete,2025-11-22,2025-11-24,On Time,2
MS00147,PR0030,Design Approved,2025-12-20,2025-12-22,On Time,2
MS00148,PR0030,Build Complete,2026-01-17,2026-01-19,On Time,2
MS00149,PR0030,UAT Complete,2026-02-14,2026-02-16,On Time,2
MS00150,PR0030,Production Launch,2026-03-14,2026-03-16,On Time,2
MS00151,PR0031,Discovery Complete,2025-01-21,2025-01-19,On Time,0
MS00152,PR0031,Design Approved,2025-02-21,2025-03-02,Late,9
MS00153,PR0031,Build Complete,2025-03-23,2025-03-25,On Time,2
MS00154,PR0031,UAT Complete,2025-04-23,2025-04-28,Late,5
MS00155,PR0031,Production Launch,2025-05-23,2025-06-01,Late,9
MS00156,PR0032,Discovery Complete,2025-12-29,2025-12-29,On Time,0
MS00157,PR0032,Design Approved,2026-02-03,2026-02-05,On Time,2
MS00158,PR0032,Build Complete,2026-03-10,2026-03-12,On Time,2
MS00159,PR0032,UAT Complete,2026-04-15,2026-04-20,Late,5
MS00160,PR0032,Production Launch,2026-05-20,2026-05-20,On Time,0
MS00161,PR0033,Discovery Complete,2025-12-19,2025-12-21,On Time,2
MS00162,PR0033,Design Approved,2026-02-02,2026-02-07,Late,5
MS00163,PR0033,Build Complete,2026-03-20,2026-04-03,Late,14
MS00164,PR0033,UAT Complete,2026-05-04,2026-05-09,Late,5
MS00165,PR0033,Production Launch,2026-06-18,,Pending,
MS00166,PR0034,Discovery Complete,2025-06-06,2025-06-08,On Time,2
MS00167,PR0034,Design Approved,2025-07-15,2025-07-17,On Time,2
MS00168,PR0034,Build Complete,2025-08-24,2025-08-24,On Time,0
MS00169,PR0034,UAT Complete,2025-10-02,2025-09-30,On Time,0
MS00170,PR0034,Production Launch,2025-11-10,2025-11-10,On Time,0
MS00171,PR0035,Discovery Complete,2026-01-30,2026-01-25,On Time,0
MS00172,PR0035,Design Approved,2026-03-21,2026-04-11,Late,21
MS00173,PR0035,Build Complete,2026-05-10,2026-05-15,Late,5
MS00174,PR0035,UAT Complete,2026-06-29,,Pending,
MS00175,PR0035,Production Launch,2026-08-18,,Pending,
MS00176,PR0036,Discovery Complete,2024-12-06,2024-12-06,On Time,0
MS00177,PR0036,Design Approved,2025-01-19,2025-02-02,Late,14
MS00178,PR0036,Build Complete,2025-03-05,2025-03-10,Late,5
MS00179,PR0036,UAT Complete,2025-04-18,2025-05-02,Late,14
MS00180,PR0036,Production Launch,2025-06-01,2025-05-27,On Time,0
MS00181,PR0037,Discovery Complete,2026-03-18,2026-03-20,On Time,2
MS00182,PR0037,Design Approved,2026-05-01,2026-05-06,Late,5
MS00183,PR0037,Build Complete,2026-06-15,,Pending,
MS00184,PR0037,UAT Complete,2026-07-29,,Pending,
MS00185,PR0037,Production Launch,2026-09-12,,Pending,
MS00186,PR0038,Discovery Complete,2024-11-03,2024-11-12,Late,9
MS00187,PR0038,Design Approved,2024-11-30,2024-12-09,Late,9
MS00188,PR0038,Build Complete,2024-12-26,2024-12-28,On Time,2
MS00189,PR0038,UAT Complete,2025-01-22,2025-01-27,Late,5
MS00190,PR0038,Production Launch,2025-02-17,2025-02-22,Late,5
MS00191,PR0039,Discovery Complete,2025-04-19,2025-04-19,On Time,0
MS00192,PR0039,Design Approved,2025-05-24,2025-05-26,On Time,2
MS00193,PR0039,Build Complete,2025-06-27,2025-07-02,Late,5
MS00194,PR0039,UAT Complete,2025-08-01,2025-07-27,On Time,0
MS00195,PR0039,Production Launch,2025-09-04,2025-09-06,On Time,2
MS00196,PR0040,Discovery Complete,2024-12-09,2024-12-14,Late,5
MS00197,PR0040,Design Approved,2025-01-04,2025-01-06,On Time,2
MS00198,PR0040,Build Complete,2025-01-31,2025-01-31,On Time,0
MS00199,PR0040,UAT Complete,2025-02-26,2025-02-26,On Time,0
MS00200,PR0040,Production Launch,2025-03-25,2025-03-25,On Time,0
MS00201,PR0041,Discovery Complete,2024-12-28,2025-01-11,Late,14
MS00202,PR0041,Design Approved,2025-01-22,2025-01-22,On Time,0
MS00203,PR0041,Build Complete,2025-02-17,2025-03-03,Late,14
MS00204,PR0041,UAT Complete,2025-03-14,2025-03-19,Late,5
MS00205,PR0041,Production Launch,2025-04-08,2025-04-08,On Time,0
MS00206,PR0042,Discovery Complete,2025-12-28,2025-12-28,On Time,0
MS00207,PR0042,Design Approved,2026-01-24,2026-01-29,Late,5
MS00208,PR0042,Build Complete,2026-02-19,2026-02-28,Late,9
MS00209,PR0042,UAT Complete,2026-03-18,2026-03-18,On Time,0
MS00210,PR0042,Production Launch,2026-04-14,2026-04-14,On Time,0
MS00211,PR0043,Discovery Complete,2025-06-27,2025-06-27,On Time,0
MS00212,PR0043,Design Approved,2025-07-16,2025-07-16,On Time,0
MS00213,PR0043,Build Complete,2025-08-04,2025-08-13,Late,9
MS00214,PR0043,UAT Complete,2025-08-23,2025-08-23,On Time,0
MS00215,PR0043,Production Launch,2025-09-11,2025-09-06,On Time,0
MS00216,PR0044,Discovery Complete,2025-03-27,2025-03-29,On Time,2
MS00217,PR0044,Design Approved,2025-05-08,2025-05-17,Late,9
MS00218,PR0044,Build Complete,2025-06-18,2025-06-18,On Time,0
MS00219,PR0044,UAT Complete,2025-07-30,2025-07-28,On Time,0
MS00220,PR0044,Production Launch,2025-09-09,2025-09-18,Late,9
MS00221,PR0045,Discovery Complete,2025-02-09,2025-02-11,On Time,2
MS00222,PR0045,Design Approved,2025-02-26,2025-03-03,Late,5
MS00223,PR0045,Build Complete,2025-03-16,2025-03-25,Late,9
MS00224,PR0045,UAT Complete,2025-04-02,2025-04-04,On Time,2
MS00225,PR0045,Production Launch,2025-04-19,2025-04-17,On Time,0
MS00226,PR0046,Discovery Complete,2025-03-01,2025-03-15,Late,14
MS00227,PR0046,Design Approved,2025-04-02,2025-04-16,Late,14
MS00228,PR0046,Build Complete,2025-05-03,2025-05-08,Late,5
MS00229,PR0046,UAT Complete,2025-06-04,2025-06-04,On Time,0
MS00230,PR0046,Production Launch,2025-07-05,2025-07-03,On Time,0
MS00231,PR0047,Discovery Complete,2025-03-07,2025-03-09,On Time,2
MS00232,PR0047,Design Approved,2025-04-17,2025-04-15,On Time,0
MS00233,PR0047,Build Complete,2025-05-28,2025-05-28,On Time,0
MS00234,PR0047,UAT Complete,2025-07-08,2025-07-08,On Time,0
MS00235,PR0047,Production Launch,2025-08-18,2025-08-23,Late,5
MS00236,PR0048,Discovery Complete,2025-09-27,2025-09-25,On Time,0
MS00237,PR0048,Design Approved,2025-10-09,2025-10-07,On Time,0
MS00238,PR0048,Build Complete,2025-10-22,2025-10-24,On Time,2
MS00239,PR0048,UAT Complete,2025-11-03,2025-11-03,On Time,0
MS00240,PR0048,Production Launch,2025-11-16,2025-11-21,Late,5
MS00241,PR0049,Discovery Complete,2025-01-28,2025-02-06,Late,9
MS00242,PR0049,Design Approved,2025-02-15,2025-02-15,On Time,0
MS00243,PR0049,Build Complete,2025-03-06,2025-03-11,Late,5
MS00244,PR0049,UAT Complete,2025-03-24,2025-03-29,Late,5
MS00245,PR0049,Production Launch,2025-04-11,2025-04-13,On Time,2
MS00246,PR0050,Discovery Complete,2025-05-20,2025-06-03,Late,14
MS00247,PR0050,Design Approved,2025-06-28,2025-07-19,Late,21
MS00248,PR0050,Build Complete,2025-08-05,2025-08-05,On Time,0
MS00249,PR0050,UAT Complete,2025-09-13,2025-09-13,On Time,0
MS00250,PR0050,Production Launch,2025-10-21,2025-10-26,Late,5
MS00251,PR0051,Discovery Complete,2025-10-22,2025-10-22,On Time,0
MS00252,PR0051,Design Approved,2025-11-08,2025-11-10,On Time,2
MS00253,PR0051,Build Complete,2025-11-24,2025-11-26,On Time,2
MS00254,PR0051,UAT Complete,2025-12-11,2025-12-16,Late,5
MS00255,PR0051,Production Launch,2025-12-28,2025-12-28,On Time,0
MS00256,PR0052,Discovery Complete,2026-03-01,2026-03-10,Late,9
MS00257,PR0052,Design Approved,2026-03-29,2026-03-29,On Time,0
MS00258,PR0052,Build Complete,2026-04-27,2026-04-25,On Time,0
MS00259,PR0052,UAT Complete,2026-05-25,,Pending,
MS00260,PR0052,Production Launch,2026-06-23,,Pending,
MS00261,PR0053,Discovery Complete,2024-12-28,2024-12-26,On Time,0
MS00262,PR0053,Design Approved,2025-02-02,2025-02-02,On Time,0
MS00263,PR0053,Build Complete,2025-03-09,2025-03-07,On Time,0
MS00264,PR0053,UAT Complete,2025-04-14,2025-04-16,On Time,2
MS00265,PR0053,Production Launch,2025-05-19,2025-05-19,On Time,0
MS00266,PR0054,Discovery Complete,2025-12-02,2025-12-02,On Time,0
MS00267,PR0054,Design Approved,2025-12-31,2025-12-29,On Time,0
MS00268,PR0054,Build Complete,2026-01-29,2026-02-03,Late,5
MS00269,PR0054,UAT Complete,2026-02-27,2026-03-04,Late,5
MS00270,PR0054,Production Launch,2026-03-28,2026-04-11,Late,14
MS00271,PR0055,Discovery Complete,2026-02-16,2026-02-16,On Time,0
MS00272,PR0055,Design Approved,2026-03-16,2026-04-06,Late,21
MS00273,PR0055,Build Complete,2026-04-14,2026-04-14,On Time,0
MS00274,PR0055,UAT Complete,2026-05-12,2026-05-12,On Time,0
MS00275,PR0055,Production Launch,2026-06-09,,Pending,
MS00276,PR0056,Discovery Complete,2025-07-23,2025-07-25,On Time,2
MS00277,PR0056,Design Approved,2025-08-29,2025-08-24,On Time,0
MS00278,PR0056,Build Complete,2025-10-06,2025-10-01,On Time,0
MS00279,PR0056,UAT Complete,2025-11-12,2025-11-14,On Time,2
MS00280,PR0056,Production Launch,2025-12-20,2025-12-20,On Time,0
